ABBOTT PRODUCTS SAS,Médecin,DOMERGUE JEAN MICHEL,11/02/2014,REPAS,€58,,
AbbVie,Pharmacien,COMBEAU HERVE,17/12/2013,Repas,€53,,
AbbVie,Pharmacien,COMBEAU HERVE,17/12/2013,REPAS,€53,,
Actelion Pharmaceuticals France,Médecin,BOUSSIN HENRI,12/06/2014,REPAS,€59,,
ARROW GENERIQUES SAS,Pharmacien,CHEAV MANY,11/12/2013,CADEAUX,€25,,
ARROW GENERIQUES SAS,Pharmacien,CHEAV SOKUN-PHALA,11/12/2013,CADEAUX,€25,,
ASTRAZENECA,Médecin,BOUSSIN HENRI,28/11/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,BOUSSIN HENRI,10/04/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BOUSSIN HENRI,15/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BOUSSIN HENRI,07/06/2013,Hospitalité,"€1,031",,
BAYER SANTE FAMILIALE,Pharmacien,CHEAV MANY,24/09/2013,REPAS,€60,,
BAYER SANTE FAMILIALE,Pharmacien,CHEAV SOKUN PHALA,24/09/2013,REPAS,€60,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DE SAINT MARTIN AURELIE,24/09/2013,REPAS,€60,,
BAYER SANTE FAMILIALE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PEREIRA MARTIN FANNY,24/09/2013,REPAS,€60,,
Beiersdorf s.a.s,Médecin,ORTOLI JEAN CHRISTOPHE,15/05/2014,REPAS,€75,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOUSSIN HENRI,27/03/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOUSSIN HENRI,05/11/2013,HOSPITALITE,€60,,
BRISTOL-MYERS SQUIBB,Médecin,MARTIGNY JEAN,03/06/2014,Repas,€55,,
COSMETIQUE ACTIVE FRANCE,Médecin,ORTOLI JEAN CHRISTOPHE,17/09/2013,AUTRE,€56,,
DENTSPLY FRANCE,Chirurgien-dentiste,BELTRAMO NICOLAS,15/07/2013,REPAS,€15,,
ICOMED,Médecin,BOUSSIN HENRI,26/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DUMON FRANCOIS SUZANNE,24/10/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,MORISSET STEPHANIE,08/02/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,SAREMBAUD ALAIN,25/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,SAREMBAUD ALAIN,11/01/2013,Autre: [Enquête],€30,,
IPSEN PHARMA,Médecin,KRYPCIAK FLORENCE,29/04/2014,REPAS,€36,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CAMOIN JEAN,03/07/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHAVEL FRANCOIS,03/07/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUMON FRANCOIS SUZANNE,21/03/2014,REPAS,€23,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HURTES REGIS,03/07/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ORTOLI JEAN CHRISTOPHE,10/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROVEKAMP CAROLINE,10/01/2012,Inscription,€110,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROVEKAMP CAROLINE,03/07/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WEBER JEAN MARC,03/07/2012,Hospitalité,€39,,
LABORATOIRE JALDES,Médecin,Dray Christine,05/11/2013,Autre : [ECHANTILLON],€15,,
Laboratoires IPRAD PHARMA,Médecin,DRAY CHRISTINE,05/06/2014,REPAS,€63,,
LEO Pharma,Médecin,ORTOLI JEAN CHRISTOPHE,27/06/2013,REPAS,€47,,
LEO Pharma,Médecin,ORTOLI JEAN CHRISTOPHE,10/06/2014,REPAS,€38,,
LES LABORATOIRES SERVIER,Médecin,BOUSSIN HENRI,07/11/2013,Repas,€46,,
LES LABORATOIRES SERVIER,Médecin,BOUSSIN HENRI,17/10/2013,Hébergement,€335,,
LES LABORATOIRES SERVIER,Médecin,BOUSSIN HENRI,17/10/2013,Repas,€60,,
MEDA PHARMA,Médecin,ORTOLI JEAN CHRISTOPHE,07/11/2013,REPAS,€58,,
MEDEXACT,Médecin,MORISSET STEPHANIE,21/05/2013,Autre: [Enquête],€19,,
MSD France,Médecin,BOUSSIN HENRI,24/10/2013,REPAS,€60,,
MSD France,Médecin,BOUSSIN HENRI,11/03/2014,REPAS,€43,,
MSD France,Médecin,BOUSSIN HENRI,11/02/2014,REPAS,€44,,
MSD France,Médecin,BOUSSIN HENRI,13/05/2014,REPAS,€40,,
MSD France,Médecin,BOUSSIN HENRI,24/06/2014,REPAS,€64,,
MSD France,Médecin,BOUSSIN HENRI,14/06/2012,HOSPITALITE,€73,,
MSD France,Médecin,BOUSSIN HENRI,08/04/2014,REPAS,€40,,
MSD France,Médecin,DRAY CHRISTINE,14/02/2014,REPAS,€20,,
NORDIC PHARMA SAS,Médecin,MARTIGNY JEAN,10/01/2014,Inscription,€450,,
PECH CERCIAT,Médecin,Dray Christine,05/11/2013,Autre : [ECHANTILLON],€20,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,CHEAV SOKUN PHALLA,16/12/2013,REPAS,€20,,
ROTTAPHARM SAS,Médecin,DRAY CHRISTINE,11/07/2013,SOIREE,€51,,
SANDOZ,Pharmacien,CHEAV SOKUN-PHALA,05/06/2014,REPAS,€60,,
SANDOZ,Pharmacien,CHEAV SOKUN-PHALA,28/04/2014,REPAS,€27,,
SANDOZ,Pharmacien,CHEAV-NEANG MANY,28/04/2014,REPAS,€27,,
SANOFI AVENTIS FRANCE,Pharmacien,CHEAV SOKUN PHALA,27/03/2014,Repas,€31,,
SANOFI AVENTIS FRANCE,Pharmacien,CHEAV NEANG MANY,27/03/2014,Repas,€31,,
TEVA SANTE SAS,Médecin,DRAY CHRISTINE,19/03/2014,AUTRE : INSCRIPTION,€67,,
