ABBOTT FRANCE,Pharmacien,BOZEC VANESSA,11/02/2014,REPAS,€39,,
ASTRAZENECA,Médecin,LECA SYLVIE,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LECA SYLVIE,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,OLLIVIER SYLVIE,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,OLLIVIER SYLVIE,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,OLLIVIER SYLVIE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,SANTAMARIA ANDREA,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,SANTAMARIA ANDREA,20/03/2014,Repas,€57,,
BRISTOL-MYERS SQUIBB,Médecin,LECA SYLVIE,08/11/2013,Repas,€41,,
CENTRALE DES PEELINGS,Médecin,AMATE ALICE,07/03/2014,cadeaux,€17,,
CENTRALE DES PEELINGS,Médecin,AMATE ALICE,07/03/2014,cadeaux,€15,,
CENTRALE DES PEELINGS,Médecin,BAUDIN VIRGINIE,07/03/2014,cadeaux,€15,,
CENTRALE DES PEELINGS,Médecin,BAUDIN VIRGINIE,07/03/2014,cadeaux,€17,,
CHIESI SA,Médecin,LECA SYLVIE,20/03/2014,Repas,€50,,
CONGRES COLLOQUES CONVENTIONS,Médecin,GUERET ZARAMBAUD MARTIAL,16/11/2013,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,LECA SYLVIE,21/01/2014,Repas,€57,,
FERRING SAS,Médecin,GENOUD DOMINIQUE,19/06/2014,Repas,€50,,
FERRING SAS,Médecin,OLLIVIER SYLVIE,19/06/2014,Repas,€50,,
ICOMED,Chirurgien-dentiste,ALLARD HENRI,16/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,GUENNEGUEZ BENOIT,12/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,AMATE ALICE,06/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DUBREUIL BRUNO,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DUBREUIL BRUNO,06/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,GENOUD DOMINIQUE,17/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GENOUD DOMINIQUE,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,OLLIVIER SYLVIE,21/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,TESSADRI JOSE,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VEZON THIERRY,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VEZON THIERRY,07/01/2013,Autre: [Enquête],€29,,
IPSEN PHARMA,Médecin,GENOUD DOMINIQUE,22/05/2014,REPAS,€60,,
IPSEN PHARMA,Médecin,LECA SYLVIE,22/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GENOUD DOMINIQUE,23/05/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LECA SYLVIE,15/01/2014,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OLLIVIER SYLVIE,18/02/2013,Hospitalite,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OLLIVIER SYLVIE,09/11/2012,Hospitalité,€20,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OLLIVIER SYLVIE,20/11/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OLLIVIER SYLVIE,17/04/2013,Hospitalite,€14,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OLLIVIER SYLVIE,07/06/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OLLIVIER SYLVIE,10/05/2012,Hospitalité,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,OLLIVIER SYLVIE,05/07/2012,Hospitalité,€33,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DU CENTRE,14/12/2013,CADEAUX,€12,,
Laboratoires ARKOPHARMA,Presse et média,NICARD Patricia,13/02/2014,AUTRE,€19,,
LABORATOIRES COLOPLAST,Infirmier,DELEUZE PASCALE,24/10/2013,Repas,€14,,
Laboratoires Leurquin Mediolanum,Médecin,AMATE ALICE,29/01/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,AMATE ALICE,26/03/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,AMATE ALICE,02/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,AMATE ALICE,18/06/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,AMATE ALICE,20/11/2013,AUTRE,€32,,
Laboratoires Leurquin Mediolanum,Médecin,JULLIAN SICARD LORRAINE,18/06/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,JULLIAN SICARD LORRAINE,02/10/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,LECA SYLVIE,30/01/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,LECA SYLVIE,21/11/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,LECA SYLVIE,03/10/2013,AUTRE,€32,,
Laboratoires Leurquin Mediolanum,Médecin,LECA SYLVIE,17/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,TESSADRI JOSE,03/10/2013,AUTRE,€32,,
