ICOMED,Chirurgien-dentiste,BOINET JEAN PIERRE,14/04/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,CERF THIERRY,06/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,OLARIU VANESSA,31/03/2014,Autre: [Enquête],€27,,
MENARINI FRANCE,Médecin,CERF THIERRY,17/10/2013,REPAS,€50,,
PIERRE FABRE MEDICAMENT,Médecin,CERF THIERRY,27/06/2013,Restauration,€13,,
PIERRE FABRE MEDICAMENT,Médecin,CERF THIERRY,20/03/2013,Restauration,€21,,
PIERRE FABRE MEDICAMENT,Médecin,CERF THIERRY,31/01/2012,Restauration,€56,,
PIERRE FABRE MEDICAMENT,Médecin,CERF THIERRY,26/06/2012,Restauration,€60,,
PIERRE FABRE MEDICAMENT,Médecin,CERF THIERRY,04/06/2014,RESTAURATION,€13,,
SANOFI AVENTIS FRANCE,Médecin,PARTHENAY PASCAL,22/11/2013,Restauration,€32,,
SANOFI AVENTIS FRANCE,Médecin,PARTHENAY PASCAL,22/11/2013,Restauration,€32,,
SANOFI AVENTIS FRANCE,Pharmacien,VIOLET MICHELLE,19/06/2014,Repas,€13,,
