APTALIS PHARMA SAS,Médecin,MALARBET PIERRE,17/09/2013,FRAIS D'HOSPITALITÉ,€60,,
ASTRAZENECA,Médecin,GUERINEL LAURENT,06/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUERINEL LAURENT,20/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,GUERINEL LAURENT,26/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GUERINEL LAURENT,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUERINEL PARANT SANDRINE,20/02/2014,Repas,€20,,
ASTRAZENECA,Médecin,GUERINEL PARANT SANDRINE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUERINEL PARANT SANDRINE,06/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,GUERINEL PARANT SANDRINE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LIABAUD GILBERT,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LIABAUD GILBERT,06/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,MALARBET PIERRE,23/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MALARBET PIERRE,05/12/2013,Repas,€57,,
BIOGARAN,Pharmacien,GILLES Patrick,31/03/2014,AUTRE : FORMATION ESSEC,€837,,
BIOGARAN,Pharmacien,GILLES PATRICK,07/10/2013,AUTRE : FORMATION ESSEC,€837,,
BOIRON,Médecin,GALLET CHRISTIAN,24/10/2013,[HOSPITALITE],€60,,
BOIRON,Médecin,GALLET CHRISTIAN,26/11/2013,[HOSPITALITE],€82,,
BOIRON,Médecin,GALLET CHRISTIAN,10/12/2013,[HOSPITALITE],€55,,
BOIRON,Médecin,GALLET CHRISTIAN,08/10/2013,[HOSPITALITE],€59,,
BOIRON,Médecin,GALLET CHRISTIAN,09/10/2013,[HOSPITALITE],€185,,
BOIRON,Médecin,GALLET CHRISTIAN,07/11/2013,[HOSPITALITE],€151,,
BOIRON,Médecin,GALLET CHRISTIAN,10/12/2013,[HOSPITALITE],€55,,
BOIRON,Médecin,GALLET CHRISTIAN,10/04/2014,[HOSPITALITE],€60,,
BOIRON,Médecin,GALLET CHRISTIAN,17/10/2013,[HOSPITALITE],€164,,
BOIRON,Médecin,GALLET CHRISTIAN,08/10/2013,[HOSPITALITE],€59,,
BOIRON,Médecin,GALLET CHRISTIAN,11/09/2013,[HOSPITALITE],€80,,
BOIRON,Médecin,GALLET CHRISTIAN,17/12/2013,[HOSPITALITE],€77,,
BOIRON,Médecin,GALLET CHRISTIAN,15/05/2014,[REPAS],€32,,
BOIRON,Médecin,GALLET CHRISTIAN,03/12/2013,[HOSPITALITE],€100,,
BOIRON,Pharmacien,BERTHILLER THIERRY,19/11/2013,[REPAS],€18,,
BOIRON,Pharmacien,VARNIER PATRICK,19/11/2013,[REPAS],€18,,
BOIRON,Pharmacien,WEISS JEAN-PHILIPPE,31/01/2014,[REPAS],€27,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BERNIN EVELYNE,19/11/2013,[REPAS],€18,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GAUTHIER AURELIE,19/11/2013,[REPAS],€18,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEVEQUE YVETTE,19/11/2013,[REPAS],€18,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,REBOUX ELODIE,19/11/2013,[REPAS],€18,,
