BOEHRINGER INGELHEIM FRANCE,Médecin,CHALVET LAURENT,15/05/2014,HOSPITALITE,€18,,
ICOMED,Chirurgien-dentiste,OHAYON CHRISTINE,09/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,OHAYON CHRISTINE,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,QUINAUX ANN,06/05/2014,Autre: [Enquête],€11,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHALVET LAURENT,13/12/2013,REPAS,€51,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHALVET LAURENT,14/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHALVET LAURENT,13/11/2012,Hospitalité,€24,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHALVET LAURENT,14/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHALVET LAURENT,05/07/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHALVET LAURENT,06/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHALVET LAURENT,27/06/2014,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHALVET LAURENT,22/05/2014,REPAS,€55,,
LES LABORATOIRES SERVIER,Médecin,CHALVET LAURENT,15/05/2014,Repas,€60,,
MENARINI FRANCE,Médecin,CHALVET LAURENT,12/04/2014,Autre : [Forfait],€286,,
PIERRE FABRE MEDICAMENT,Médecin,CHALVET LAURENT,19/01/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,CHALVET LAURENT,16/05/2013,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,CHALVET LAURENT,24/05/2012,Restauration,€65,,
PIERRE FABRE MEDICAMENT,Médecin,CHALVET LAURENT,02/02/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,CHALVET LAURENT,19/10/2012,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,VONSENSEY ALAIN,02/02/2012,Restauration,€28,,
PIERRE FABRE MEDICAMENT,Médecin,VONSENSEY ALAIN,19/01/2012,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,CHALVET LAURENT,22/04/2014,Repas,€21,,
