galderma international,Médecin,DESVAUX JACQUES,10/04/2014,Repas,€63,,
ICOMED,Chirurgien-dentiste,PISSAVIN ANNE LAURE,07/05/2014,Autre: [Enquête],€11,,
LES LABORATOIRES SERVIER,Médecin,PISAPIA MARTINE,02/10/2013,Repas,€55,,
LUNDBECK SAS,Médecin,PISAPIA MARTINE,05/10/2013,AUTRE : FRAIS D HOSPITALITE / RP,€300,,
MSD France,Médecin,PISAPIA MARTINE,25/03/2014,REPAS,€64,,
MSD France,Médecin,PISAPIA MARTINE,23/11/2013,HÉBERGEMENT,€149,,
MSD France,Médecin,PISAPIA MARTINE,23/11/2013,REPAS,€135,,
MSD France,Médecin,PISAPIA MARTINE,23/11/2013,TRANSPORT,€21,,
NOBEL BIOCARE FRANCE SAS,Chirurgien-dentiste,CHAVET SYLVAIN,12/07/2013,REPAS,€14,,
NOBEL BIOCARE FRANCE SAS,Chirurgien-dentiste,CHAVET JABOT SYLVAIN,21/11/2013,REPAS,€12,,
NOBEL BIOCARE FRANCE SAS,Chirurgien-dentiste,CHAVET JABOT SYLVAIN,06/03/2014,REPAS,€14,,
NOBEL BIOCARE FRANCE SAS,Chirurgien-dentiste,PISSAVIN ANNE-LAURE,06/03/2014,REPAS,€14,,
NOBEL BIOCARE FRANCE SAS,Chirurgien-dentiste,PISSAVIN ANNE-LAURE,12/07/2013,REPAS,€14,,
NOVARTIS PHARMA SAS,Médecin,PISAPIA MARTINE,12/06/2014,Autre : [Participation Evenement Scientifique],€55,,
Zimmer Dental SAS,Chirurgien-dentiste,CHAPEL GEORGES,10/12/2013,REPAS,€16,,
