Actelion Pharmaceuticals France,Etablissement de santé,SUNDGAU MEDICAL WRITERS,08/01/2014,AUTRE [PRESTATION PM],€312,,
Bayer HealthCare SAS,Médecin,DEMARE NICOLAS,15/05/2014,REPAS,€24,,
Bayer HealthCare SAS,Médecin,ELGARD PHILIPPE,19/06/2014,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,GEIST DIDIER,15/05/2014,REPAS,€24,,
Bayer HealthCare SAS,Médecin,MOSER MICHELE,19/06/2014,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,MOSER MICHELE,15/05/2014,REPAS,€24,,
Bayer HealthCare SAS,Médecin,OTT BERNARD,15/05/2014,REPAS,€24,,
Bayer HealthCare SAS,Médecin,ZACHARIAS CELINE,15/05/2014,REPAS,€24,,
BOIRON,Pharmacien,SANTUCCI CLAIRE,14/11/2013,[REPAS],€30,,
BOIRON,Sage-femme,DEMARE ELODIE,04/12/2013,[REPAS],€20,,
BSN medical SAS,Association professionnel de santé,Association Hospitalère des Gypsothérapeutes de France. Sigle : A.H.G.T.F.,11/09/2012,Dons de fonctionnement,"€1,000",,
CAPRON PODOLOGIE,Pédicure-podologue,MATTERN MARTINE,10/09/2013,CADEAUX,€10,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,NAGELEISEN NATHALIE,01/04/2014,REPAS,€21,,
DAIICHI SANKYO FRANCE SAS,Médecin,DEMARE NICOLAS,25/09/2013,Repas,€56,,
DAIICHI SANKYO FRANCE SAS,Médecin,GEIST DIDIER,25/09/2013,Repas,€56,,
ICOMED,Médecin,ELGARD PHILIPPE,11/01/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,SCHAFFHAUSER ANNICK,03/06/2014,Autre: [Enquête],€27,,
INTUITIVE SURGICAL SARL,Médecin,OTT BERNARD,14/01/2014,Repas,€58,,
INTUITIVE SURGICAL SARL,Médecin,OTT BERNARD,22/01/2014,Hebergement,€159,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUVET GUIFFRA CATHERINE,16/05/2013,Hospitalite,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEMARE NICOLAS,26/01/2012,Hospitalité,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEMARE NICOLAS,15/10/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEMARE NICOLAS,16/05/2013,Hospitalite,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ELGARD PHILIPPE,14/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ELGARD PHILIPPE,29/11/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ELGARD PHILIPPE,20/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ELGARD PHILIPPE,21/06/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEIST DIDIER,16/05/2013,Hospitalite,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GEIST DIDIER,26/01/2012,Hospitalité,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOSER MICHELE,20/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIQUEMAL ALAIN,14/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIQUEMAL ALAIN,20/12/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIQUEMAL ALAIN,12/03/2014,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIQUEMAL ALAIN,02/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIQUEMAL ALAIN,21/06/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIQUEMAL ALAIN,18/04/2012,Hospitalité,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIQUEMAL ALAIN,25/10/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIQUEMAL ALAIN,29/11/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Sage-femme,DEMARE ELODIE,26/01/2012,Hospitalité,€31,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,BESSON CLAIRE,16/05/2014,INVITATIONS,€20,,
LES LABORATOIRES SERVIER,Médecin,DEMARE NICOLAS,21/02/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,GEIST DIDIER,30/01/2014,Repas,€58,,
Molnlycke Health Care,Infirmier,GISSY ALEXIA,24/09/2013,REPAS,€22,,
Molnlycke Health Care,Infirmier,GISSY ALEXIA,15/01/2014,CADEAUX,€40,,
NOVARTIS PHARMA SAS,Médecin,BOUVET GUIFFRA CATHERINE,30/01/2014,Repas,€32,,
NOVARTIS PHARMA SAS,Médecin,DEMARE NICOLAS,30/01/2014,Repas,€32,,
NOVARTIS PHARMA SAS,Médecin,GEIST DIDIER,13/05/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,GEIST DIDIER,30/01/2014,Repas,€32,,
NOVARTIS PHARMA SAS,Médecin,GEIST DIDIER,21/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,STEPHAN JOSE,21/11/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,ZACHARIAS CELINE,30/01/2014,Repas,€32,,
SANOFI AVENTIS FRANCE,Pharmacien,BESSON CLAIRE,13/03/2014,Repas,€24,,
SANOFI AVENTIS FRANCE,Pharmacien,NAGELEISEN MENG NATHALIE,13/03/2014,Repas,€24,,
SANOFI AVENTIS FRANCE,Pharmacien,SCHAFFHAUSER ANNICK,13/03/2014,Repas,€24,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GERARD ANNE,13/03/2014,Repas,€24,,
SANOFI PASTEUR MSD SNC,Médecin,DEMARE NICOLAS,22/05/2013,Repas,€24,,
SANOFI PASTEUR MSD SNC,Sage-femme,SNEESSENS EVELYNE,19/02/2014,Repas,€20,,
ViiV HEALTHCARE SAS,Médecin,BOUVET GUIFFRA CATHERINE,06/10/2012,Hospitalite,€36,,
Zambon France,Médecin,BOUVET GUIFFRA CATHERINE,06/02/2014,Repas,€24,,
Zambon France,Médecin,DE LA TORRE HELENE,06/02/2014,Repas,€24,,
Zambon France,Médecin,DEMARE NICOLAS,06/02/2014,Repas,€24,,
Zambon France,Médecin,MOSER MICHELE,06/02/2014,Repas,€24,,
Zambon France,Médecin,OTT BERNARD,06/02/2014,Repas,€24,,
Zambon France,Médecin,ZACHARIAS CELINE,06/02/2014,Repas,€24,,
