ALLERGAN FRANCE,Médecin,BAUDOUIN FRANCOISE,19/03/2014,AUTRE-INSCRIPTION,€320,,
ASTRAZENECA,Médecin,BRELIVET TOUS MARTINE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,BRELIVET TOUS MARTINE,15/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CAER ANDRE,15/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CLECH GUILLOTTE PATRICIA,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,MESSAGER ANNE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,NADAUD NICOLAS,15/04/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,BAUDOUIN FRANCOISE,07/11/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,BAUDOUIN FRANCOISE,04/07/2013,Hospitalité,€17,,
BOSTON SCIENTIFIC SAS,Médecin,DUFRENEIX OLIVIER,17/10/2013,REPAS,€56,,
BOSTON SCIENTIFIC SAS,Médecin,TOUDIC PAUL,17/10/2013,REPAS,€55,,
BRISTOL-MYERS SQUIBB,Médecin,NADAUD NICOLAS,10/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Pharmacien,FOY EMMANUELLE,22/05/2014,Repas,€50,,
CHIESI SA,Médecin,BRELIVET TOUS MARTINE,28/02/2014,Repas,€16,,
CHIESI SA,Médecin,CLECH GUILLOTTE PATRICIA,28/02/2014,Repas,€16,,
CHIESI SA,Médecin,MESSAGER ANNE,28/02/2014,Repas,€16,,
colgate palmolive,Chirurgien-dentiste,PUGNAT YOHANN,04/02/2014,Dons de materiel,€16,,
Dexter,Chirurgien-dentiste,MARTIN PRIGENT LINDA,31/12/2013,Invitations,€120,,
DJO France SAS,Pharmacien,FOY-MOTREFF EMMANUELLE,13/09/2012,Repas,€35,,
