ALLERGAN FRANCE,Pharmacien,LEPAGE CHRISTOPHE,05/06/2014,REPAS,€19,,
ASTRAZENECA,Médecin,DECATOIRE JEAN,13/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DECATOIRE JEAN,28/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,DECATOIRE JEAN,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,FONTAINE MARIE HELENE,13/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,FONTAINE MARIE HELENE,19/03/2014,Repas,€57,,
BIOGARAN,Pharmacien,CERF PATRICE,09/09/2013,AUTRE : FORMATION PROGRAMME STAR,€13,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DECATOIRE JEAN,26/03/2013,HOSPITALITE,€60,,
BOIRON,Médecin,FONTAINE MARIE HELENE,05/03/2014,[REPAS],€40,,
ICOMED,Chirurgien-dentiste,LEMPEREUR GILLES,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,LEMPEREUR GILLES,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,DECATOIRE JEAN,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DRON GERARD,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,FONTAINE MARIE HELENE,27/11/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,FONTAINE MARIE HELENE,07/01/2013,Autre: [Enquête],€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DAVID LIONEL,16/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DAVID LIONEL,22/05/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DAVID LIONEL,27/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DAVID LIONEL,21/11/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DAVID LIONEL,10/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DECATOIRE JEAN,10/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DECATOIRE JEAN,19/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DECATOIRE JEAN,27/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DECATOIRE JEAN,16/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DECATOIRE JEAN,21/11/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DECATOIRE JEAN,18/02/2014,REPAS,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,14/02/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,16/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,16/05/2014,REPAS,€47,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,26/11/2013,REPAS,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,27/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,06/12/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,22/05/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,24/02/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,10/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,29/06/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,21/11/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DRON GERARD,19/12/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE MARIE HELENE,10/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE MARIE HELENE,27/11/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE MARIE HELENE,16/05/2013,Hospitalite,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE MARIE HELENE,18/02/2014,REPAS,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FONTAINE MARIE HELENE,22/05/2014,REPAS,€55,,
LABORATOIRES CONVATEC,Infirmier,LECONTE MAGALI,28/11/2013,RESTAURATION,€10,,
Laboratoires PRED,Chirurgien-dentiste,Lempereur Gilles,18/02/2014,Cadeaux,€155,,
LES LABORATOIRES SERVIER,Médecin,DECATOIRE JEAN,05/12/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,DECATOIRE JEAN,11/06/2014,Repas,€53,,
NOVARTIS PHARMA SAS,Médecin,DECATOIRE JEAN,08/10/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
NOVARTIS PHARMA SAS,Médecin,DECATOIRE JEAN,03/06/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,DECATOIRE JEAN,08/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,DECATOIRE JEAN,17/04/2014,Autre : [Participation Evenement Scientifique],€31,,
NOVARTIS PHARMA SAS,Médecin,FONTAINE MARIE HELENE,19/11/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,FONTAINE MARIE HELENE,17/04/2014,Autre : [Participation Evenement Scientifique],€31,,
NOVARTIS PHARMA SAS,Médecin,FONTAINE MARIE HELENE,08/04/2014,Autre : [Participation Evenement Scientifique],€55,,
