BOIRON,Médecin,SAVI HERVE,11/06/2014,[REPAS],€57,,
BRISTOL-MYERS SQUIBB,Médecin,CARON JACQUES,20/02/2014,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,CARON JACQUES,06/11/2013,Repas,€32,,
BRISTOL-MYERS SQUIBB,Médecin,CARON JACQUES,06/02/2014,Repas,€42,,
BRISTOL-MYERS SQUIBB,Médecin,CARON JACQUES,03/10/2013,Repas,€34,,
BRISTOL-MYERS SQUIBB,Médecin,CARON JACQUES,27/11/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,SAVI HERVE,03/10/2013,Repas,€34,,
BRISTOL-MYERS SQUIBB,Médecin,SAVI HERVE,06/11/2013,Repas,€32,,
BRISTOL-MYERS SQUIBB,Médecin,SAVI HERVE,20/02/2014,Repas,€40,,
BRISTOL-MYERS SQUIBB,Médecin,VOARICK JACK PIERRE,27/11/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,VOARICK JACK PIERRE,03/10/2013,Repas,€34,,
BSN-RADIANTE SAS,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,DOUPSIS Sébastien,26/03/2014,Repas,€19,,
BSN-RADIANTE SAS,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,DOUSPIS Sébastien,03/06/2014,Repas,€25,,
CHIESI SA,Médecin,SAVI HERVE,03/04/2014,Repas,€35,,
CHIESI SA,Médecin,VOARICK JACK PIERRE,03/04/2014,Repas,€35,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BAUSIER BÉRENGÈRE,10/10/2013,HOSPITALITE,€56,,
DAIICHI SANKYO FRANCE SAS,Médecin,TOUSSAINT STEPHANIE,23/05/2014,Repas,€28,,
Fresenius Medical Care France S.A.S.,Médecin,GLACHANT JEAN CLAUDE,29/11/2013,REPAS,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,30/01/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,12/06/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,04/04/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,15/05/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,12/06/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,21/02/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,12/12/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,25/01/2013,Hospitalite,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,09/02/2012,Hospitalité,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,05/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,14/06/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,30/01/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARON JACQUES,29/06/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,25/01/2013,Hospitalite,€38,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,15/05/2014,REPAS,€41,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,12/06/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,04/04/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,21/02/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,22/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,04/10/2012,Hospitalité,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,24/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAVI HERVE,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VOARICK JACK PIERRE,12/12/2013,REPAS,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VOARICK JACK PIERRE,21/02/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VOARICK JACK PIERRE,12/06/2014,REPAS,€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VOARICK JACK PIERRE,04/04/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VOARICK JACK PIERRE,09/02/2012,Hospitalité,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VOARICK JACK PIERRE,14/06/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VOARICK JACK PIERRE,29/06/2012,Hospitalité,€37,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VOARICK JACK PIERRE,04/10/2012,Hospitalité,€39,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SAVI HERVE,17/03/2014,Repas,€50,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,SAVI HERVE,28/11/2013,Repas,€50,,
Laboratoires Grünenthal SAS,Médecin,SAVI HERVE,17/04/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,SAVI HERVE,11/07/2013,REPAS,€35,,
LEO Pharma,Médecin,CARON JACQUES,12/09/2013,REPAS,€38,,
LEO Pharma,Médecin,CARON JACQUES,03/12/2013,REPAS,€33,,
LEO Pharma,Médecin,SAVI HERVE,12/09/2013,REPAS,€38,,
LEO Pharma,Médecin,VOARICK JACK PIERRE,12/09/2013,REPAS,€38,,
LES LABORATOIRES SERVIER,Médecin,CARON JACQUES,23/01/2014,Repas,€39,,
LES LABORATOIRES SERVIER,Médecin,SAVI HERVE,23/01/2014,Repas,€39,,
LES LABORATOIRES SERVIER,Médecin,VOARICK JACK PIERRE,23/01/2014,Repas,€39,,
Lilly France SAS,Médecin,CARON JACQUES,19/09/2013,REPAS,€60,,
Lilly France SAS,Médecin,VOARICK JACK PIERRE,27/03/2014,REPAS,€60,,
LUNDBECK SAS,Médecin,SAVI HERVE,17/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
LUNDBECK SAS,Médecin,VOARICK JACK PIERRE,17/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€45,,
MENARINI FRANCE,Médecin,CARON JACQUES,19/11/2013,AUTRE : RNT,€58,,
MENARINI FRANCE,Médecin,SAVI HERVE,19/11/2013,AUTRE : RNT,€58,,
MENARINI FRANCE,Médecin,VOARICK JACK PIERRE,19/11/2013,AUTRE : RNT,€58,,
MSD France,Médecin,CARON JACQUES,27/03/2014,REPAS,€38,,
MSD France,Médecin,CARON JACQUES,27/02/2014,REPAS,€46,,
MSD France,Médecin,CARON JACQUES,17/06/2014,REPAS,€35,,
NOVARTIS PHARMA SAS,Médecin,CARON JACQUES,10/10/2013,Repas,€39,,
NOVARTIS PHARMA SAS,Médecin,SAVI HERVE,10/10/2013,Repas,€39,,
NOVARTIS PHARMA SAS,Médecin,VOARICK JACK PIERRE,10/10/2013,Repas,€39,,
NOVO NORDISK,Médecin,CARON JACQUES,20/03/2014,REPAS,€45,,
NOVO NORDISK,Médecin,VOARICK JACK PIERRE,20/03/2014,REPAS,€45,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,PICQUIER JEAN FRANCOIS,11/12/2013,RP,€48,,
PIERRE FABRE MEDICAMENT,Médecin,CARON JACQUES,16/01/2014,RESTAURATION,€45,,
PIERRE FABRE MEDICAMENT,Médecin,CARON JACQUES,25/02/2014,RESTAURATION,€41,,
PIERRE FABRE MEDICAMENT,Médecin,CARON JACQUES,24/01/2013,Restauration,€102,,
PIERRE FABRE MEDICAMENT,Médecin,CARON JACQUES,07/05/2013,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,SAVI HERVE,22/11/2012,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,VOARICK JACK PIERRE,24/01/2013,Restauration,€102,,
PIERRE FABRE MEDICAMENT,Médecin,VOARICK JACK PIERRE,16/01/2014,RESTAURATION,€45,,
PIERRE FABRE MEDICAMENT,Médecin,VOARICK JACK PIERRE,25/02/2014,RESTAURATION,€41,,
SANOFI AVENTIS FRANCE,Infirmier,DENEUVE OLIVIER,22/05/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Infirmier,DENEUVE OLIVIER,22/05/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Infirmier,MILLIER ALINE,22/05/2014,Repas,€20,,
SANOFI AVENTIS FRANCE,Infirmier,MILLIER ALINE,22/05/2014,Repas,€19,,
SANOFI AVENTIS FRANCE,Médecin,VOARICK JACK PIERRE,22/05/2014,Repas,€20,,
Takeda France,Médecin,CARON Jacques,04/04/2014,REPAS,€34,,
Takeda France,Médecin,SAVI Herve,04/04/2014,REPAS,€34,,
Takeda France,Médecin,VOARICK Jack pierre,04/04/2014,REPAS,€34,,
TEVA SANTE SAS,Médecin,CARON JACQUES,28/02/2014,REPAS,€43,,
TEVA SANTE SAS,Médecin,CARON JACQUES,28/11/2013,REPAS,€42,,
TEVA SANTE SAS,Médecin,SAVI HERVE,28/11/2013,REPAS,€42,,
TEVA SANTE SAS,Médecin,VOARICK JACK PIERRE,28/11/2013,REPAS,€42,,
Zambon France,Médecin,SAVI HERVE,19/06/2014,Repas,€48,,
