ICOMED,Médecin,BERREHAR DOMINIQUE,19/02/2013,Autre: [Enquête],€29,,
LABORATOIRES URGO,Infirmier,FIGUEREDO Françoise,03/06/2014,Repas,€16,,
LABORATOIRES URGO,Infirmier,RENIER Véronique,03/06/2014,Repas,€16,,
LABORATOIRES URGO,Infirmier,ROUVRE Cécile,03/06/2014,Repas,€16,,
MSD France,Médecin,AUZARY FABIENNE,11/06/2012,REPAS,€37,,
NOVARTIS PHARMA SAS,Médecin,QUESNEL YVES,18/02/2014,Repas,€22,,
PIERRE FABRE MEDICAMENT,Médecin,AUZARY FABIENNE,17/06/2014,RESTAURATION,€26,,
PIERRE FABRE MEDICAMENT,Médecin,AUZARY FABIENNE,21/05/2013,Restauration,€25,,
PIERRE FABRE MEDICAMENT,Médecin,QUESNEL YVES,12/03/2014,RESTAURATION,€48,,
PIERRE FABRE MEDICAMENT,Médecin,QUESNEL YVES,12/05/2014,RESTAURATION,€44,,
SANOFI AVENTIS FRANCE,Médecin,DOBOSZ NATHALIE,05/07/2013,Restauration,€14,,
SANOFI AVENTIS FRANCE,Médecin,OFFRET SANDRA,05/07/2013,Restauration,€14,,
SANOFI AVENTIS FRANCE,Pharmacien,PUISAIS AMELIE,05/07/2013,Restauration,€14,,
