APARD,Etablissement de santé,EHPAD LA MURELLE,30/03/2014,HOSPITALITE,€251,,
ASTRAZENECA,Infirmier,FARENC CATHERINE,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BALESTIE DOMINIQUE,12/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LAHOSA AGUILAR MARIE LINE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,SAID SERGE,11/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,SAID SERGE,25/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,SAID SERGE,17/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,SAID SERGE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,SAID SERGE,24/04/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,SAID SERGE,17/06/2014,Hospitalité,€50,,
BIOCODEX,Médecin,SAID SERGE,24/10/2013,REPAS,€59,,
BIOCODEX,Médecin,SAID SERGE,20/02/2014,REPAS,€59,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BALESTIE DOMINIQUE,10/10/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BALESTIE DOMINIQUE,15/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BALESTIE DOMINIQUE,03/12/2013,HOSPITALITE,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SAID SERGE,03/12/2013,HOSPITALITE,€53,,
BOEHRINGER INGELHEIM FRANCE,Médecin,SAID SERGE,10/10/2013,HOSPITALITE,€60,,
BOIRON,Pharmacien,FULCRAND SEBASTIEN,22/11/2013,[REPAS],€12,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CASTILLO BEATRICE,22/11/2013,[REPAS],€12,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,BAUDOT FABRICE,21/05/2014,REPAS,€20,,
ICOMED,Médecin,BALESTIE DOMINIQUE,17/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,BALESTIE DOMINIQUE,26/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,GIBBINS SARAH,06/05/2014,Autre: [Enquête],€22,,
ICOMED,Médecin,ROMIEU OLIVIER,18/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,ROMIEU OLIVIER,09/01/2013,Autre: [Enquête],€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BALESTIE DOMINIQUE,14/01/2014,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BALESTIE DOMINIQUE,12/09/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BALESTIE DOMINIQUE,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAID SERGE,19/07/2012,Hospitalité,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAID SERGE,28/06/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAID SERGE,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,SAID SERGE,05/06/2014,REPAS,€60,,
LABORATOIRES OMEGA PHARMA FRANCE,Sage-femme,CORNEE ISABELLE,01/12/2013,CADEAUX,€15,,
LEO Pharma,Médecin,ATHANASE VERONIQUE,24/04/2014,REPAS,€47,,
LES LABORATOIRES SERVIER,Médecin,QUESADA CABANEL DELPHINE,05/07/2013,Repas,€20,,
LES LABORATOIRES SERVIER,Médecin,ROMIEU OLIVIER,15/04/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,SAID SERGE,21/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,SAID SERGE,04/02/2014,Repas,€53,,
LES LABORATOIRES SERVIER,Médecin,SAID SERGE,05/11/2013,Repas,€47,,
LES LABORATOIRES SERVIER,Médecin,SAID SERGE,16/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,SAID SERGE,16/07/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,SAID SERGE,05/11/2013,Repas,€47,,
LUNDBECK SAS,Médecin,SAID SERGE,07/12/2013,AUTRE : FRAIS D HOSPITALITE / RP,€300,,
LUNDBECK SAS,Médecin,SAID SERGE,01/10/2013,AUTRE : FRAIS DE RESTAURATION / RP,€55,,
LUNDBECK SAS,Médecin,SAID SERGE,20/03/2014,AUTRE : FRAIS DE RESTAURATION / RP,€50,,
LUNDBECK SAS,Médecin,SAID SERGE,27/02/2014,AUTRE : FRAIS D HOSPITALITE / RP,€63,,
MEDEXACT,Médecin,BALESTIE DOMINIQUE,17/06/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,BALESTIE DOMINIQUE,30/01/2014,Autre : [Restauration],€52,,
MENARINI FRANCE,Médecin,SAID SERGE,09/10/2013,REPAS,€45,,
Molnlycke Health Care,Infirmier,SAUVARD MIREILLE,06/02/2014,REPAS,€12,,
MSD France,Médecin,BALESTIE DOMINIQUE,04/07/2013,REPAS,€60,,
MSD France,Médecin,EMERY SANDRA,04/07/2013,REPAS,€55,,
MSD France,Médecin,SAID SERGE,04/07/2013,REPAS,€60,,
MSD France,Médecin,SAID SERGE,10/06/2014,REPAS,€51,,
MSD France,Médecin,SAID SERGE,26/04/2012,HOSPITALITE,€60,,
MSD France,Médecin,SAID SERGE,08/03/2012,REPAS,€50,,
MSD France,Médecin,SAID SERGE,03/07/2012,REPAS,€55,,
MSD France,Médecin,SAID SERGE,22/06/2012,REPAS,€27,,
MSD France,Médecin,SAID SERGE,10/05/2012,HOSPITALITE,€55,,
MYLAN SAS,Pharmacien,BARRAL DANIEL,11/07/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,FULCRAND EMILY,13/12/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,FULCRAND SEBASTIEN,13/12/2013,REPAS,€50,,
MYLAN SAS,Pharmacien,PULL LAURENT,11/07/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CASTILO BETRICE,13/12/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CLAUSTRE JULIE,11/07/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HEBRAUD CINTHIA,11/07/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ORSIERE MARINE,11/07/2013,REPAS,€50,,
MYLAN SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,THERON BRIGITTE,11/07/2013,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,BALESTIE DOMINIQUE,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€54,,
NOVARTIS PHARMA SAS,Médecin,BALESTIE DOMINIQUE,17/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,RASSIER ABRIAL SYLVIE,17/07/2013,Repas,€42,,
NOVARTIS PHARMA SAS,Médecin,SAID SERGE,26/11/2013,Autre : [Hospitalité Evenement Scientifique],€54,,
PIERRE FABRE MEDICAMENT,Médecin,BALESTIE DOMINIQUE,04/04/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,BALESTIE DOMINIQUE,11/04/2012,Restauration,€56,,
PIERRE FABRE MEDICAMENT,Médecin,BALESTIE DOMINIQUE,31/05/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,BALESTIE DOMINIQUE,16/06/2014,RESTAURATION,€23,,
PIERRE FABRE MEDICAMENT,Médecin,COMBES MARC FRANCOIS,16/06/2014,RESTAURATION,€23,,
PIERRE FABRE MEDICAMENT,Médecin,COMBES MARC FRANCOIS,11/04/2012,Restauration,€56,,
PIERRE FABRE MEDICAMENT,Médecin,DELMAS STEPHANE,06/06/2013,HospitalitÃƒÂ©,€204,,
PIERRE FABRE MEDICAMENT,Médecin,DELMAS STEPHANE,23/05/2013,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,DELMAS STEPHANE,18/06/2014,RESTAURATION,€60,,
PIERRE FABRE MEDICAMENT,Médecin,DELMAS STEPHANE,06/06/2013,HospitalitÃƒÂ©,€199,,
PIERRE FABRE MEDICAMENT,Médecin,DELMAS STEPHANE,06/06/2013,Frais de dÃƒÂ©placement,€41,,
PIERRE FABRE MEDICAMENT,Médecin,EMERY SANDRA,16/05/2013,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,LAHOSA AGUILAR MARIE LINE,11/04/2012,Restauration,€56,,
PIERRE FABRE MEDICAMENT,Médecin,RASSIER ABRIAL SYLVIE,16/06/2014,RESTAURATION,€23,,
PIERRE FABRE MEDICAMENT,Médecin,RASSIER ABRIAL SYLVIE,11/04/2012,Restauration,€56,,
PIERRE FABRE MEDICAMENT,Médecin,SAID SERGE,16/02/2012,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,SAID SERGE,04/04/2013,Restauration,€53,,
PIERRE FABRE MEDICAMENT,Médecin,SAID SERGE,31/05/2012,Restauration,€35,,
ROCHE DIAGNOSTICS FRANCE,Médecin,ATHANASE VERONIQUE,20/05/2014,REPAS,€45,,
ROCHE DIAGNOSTICS FRANCE,Médecin,RASSIER SYLVIE,20/05/2014,REPAS,€45,,
SANOFI AVENTIS FRANCE,Médecin,BALESTIE DOMINIQUE,10/12/2013,Restauration,€19,,
SIGVARIS,Pharmacien,FULCRAND EMILY,26/09/2013,REPAS,€30,,
SIGVARIS,Pharmacien,FULCRAND SEBASTIEN,26/09/2013,REPAS,€30,,
Takeda France,Médecin,BALESTIE Dominique,25/02/2014,REPAS,€30,,
Takeda France,Médecin,COMBES Marc francois,25/02/2014,REPAS,€30,,
Takeda France,Médecin,LAHOSA AGUILAR Marie line,25/02/2014,REPAS,€30,,
Takeda France,Médecin,RASSIER ABRIAL Sylvie,25/02/2014,REPAS,€30,,
Takeda France,Médecin,SAID Serge,25/02/2014,REPAS,€30,,
Takeda France,Pharmacien,FULCRAND Emily,25/02/2014,REPAS,€30,,
Takeda France,Pharmacien,FULCRAND Sebastien,25/02/2014,REPAS,€30,,
