ALLERGAN FRANCE,Médecin,PUJOS ERIC,10/04/2014,HOSPITALITE,€60,,
CONGRES COLLOQUES CONVENTIONS,Médecin,PUJOS GAUTRAND MICHELE,08/03/2014,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,GUICHARD LAURENCE,08/04/2014,REPAS,€28,,
FCI SAS,Médecin,JAMIN BERNARD,20/05/2014,REPAS,€55,,
ICOMED,Médecin,BALLION JEAN LUC,02/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BALLION JEAN LUC,23/01/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,BALLION JEAN LUC,18/03/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GRIMAL JEAN PIERRE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GRIMAL JEAN PIERRE,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MANUEL JEAN PIERRE,07/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MANUEL JEAN PIERRE,05/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PUJOS ERIC,20/06/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PUJOS ERIC,06/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,PUJOS GAUTRAUD MICHELE,18/12/2013,Autre: [Enquête],€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BAILLON JEAN-LUC,02/02/2012,Hospitalité,€26,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BALLION JEAN LUC,05/06/2014,REPAS,€22,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BALLION JEAN LUC,04/10/2012,Hospitalité,€27,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BALLION JEAN LUC,04/07/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANUEL JEAN PIERRE,22/11/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANUEL JEAN PIERRE,04/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANUEL JEAN PIERRE,04/12/2013,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGAULT JEAN PIERRE,26/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGAULT JEAN PIERRE,02/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGAULT JEAN PIERRE,12/07/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGAULT JEAN PIERRE,22/11/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGAULT JEAN PIERRE,05/01/2012,Hospitalité,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PIGAULT JEAN PIERRE,29/03/2012,Hospitalité,€44,,
Laboratoires BESINS INTERNATIONAL,Médecin,PUJOS GAUTRAUD Michele,27/03/2013,Repas,€50,,
Laboratoires Grünenthal SAS,Médecin,BOYER JEAN MAX,03/10/2013,REPAS,€55,,
LES LABORATOIRES SERVIER,Médecin,BALLION JEAN LUC,17/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,MANUEL JEAN PIERRE,17/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,PUJOS GAUTRAUD MICHELE,03/04/2014,Transport,€535,,
MEDEXACT,Médecin,BALLION JEAN LUC,05/06/2013,Autre: [Enquête],€20,,
MEDEXACT,Médecin,GRIMAL JEAN PIERRE,24/05/2013,Autre: [Enquête],€16,,
Molnlycke Health Care,Infirmier,CHARBONNEAU VALERIE,31/03/2014,REPAS,€13,,
Molnlycke Health Care,Infirmier,FAURE CELINE,31/03/2014,REPAS,€30,,
Molnlycke Health Care,Infirmier,FAURE CELINE,31/03/2014,REPAS,€13,,
Molnlycke Health Care,Infirmier,SAINTE LUCE LAURE,31/03/2014,REPAS,€30,,
Molnlycke Health Care,Infirmier,SAINTE LUCE LAURE,31/03/2014,REPAS,€13,,
MSD France,Médecin,BOYER JEAN MAX,15/05/2014,REPAS,€57,,
MSD France,Médecin,BOYER JEAN MAX,14/11/2013,REPAS,€55,,
PHARMATHERA,Médecin,GRIMAL JEAN PIERRE,12/09/2013,OBJET D HOSPITALITE,€19,,
PIERRE FABRE MEDICAMENT,Médecin,BALLION JEAN LUC,26/01/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,BALLION JEAN LUC,23/11/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,BALLION JEAN LUC,01/03/2012,Restauration,€26,,
PIERRE FABRE MEDICAMENT,Médecin,BOYER JEAN MAX,25/09/2012,Restauration,€35,,
PIERRE FABRE MEDICAMENT,Médecin,PIGAULT JEAN PIERRE,21/06/2012,Restauration,€40,,
SANOFI AVENTIS FRANCE,Médecin,BOYER JEAN MAX,15/10/2013,Restauration,€23,,
SANOFI AVENTIS FRANCE,Médecin,BOYER JEAN MAX,26/03/2014,Repas,€13,,
SANOFI AVENTIS FRANCE,Médecin,MANUEL JEAN PIERRE,15/10/2013,Restauration,€23,,
SANOFI PASTEUR MSD SNC,Médecin,GRIMAL JEAN PIERRE,28/11/2013,Repas,€36,,
SAS LABORATOIRES VIVACY,Médecin,PUJOS ERIC,05/10/2013,REPAS,€55,,
TEVA SANTE SAS,Médecin,GRIMAL JEAN PIERRE,25/03/2014,REPAS,€25,,
THERADIAL SAS,Infirmier,CHOURAQUI MARTINE,16/05/2014,REPAS,€10,,
