BOEHRINGER INGELHEIM FRANCE,Médecin,ZAOUI FATIMA,14/02/2014,HOSPITALITE,€22,,
BRISTOL-MYERS SQUIBB,Pharmacien,JAVAUDIN VERONIQUE,02/07/2013,Repas,€26,,
ICOMED,Chirurgien-dentiste,STOSSKOPF CHANTAL,11/04/2013,Autre: [Enquête],€14,,
JANSSEN-CILAG,Pharmacien,JAVAUDIN VERONIQUE,08/10/2013,TRANSPORT,€221,,
JANSSEN-CILAG,Pharmacien,JAVAUDIN VERONIQUE,08/10/2013,REPAS,€70,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,PETILLON-GUITTON CELINE,31/05/2012,Autre,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DIARA CAMILLE,18/10/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,JAVAUDIN VERONIQUE,29/03/2012,Hospitalité,€811,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,JAVAUDIN VERONIQUE,29/03/2012,Transport,€163,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,JAVAUDIN VERONIQUE,10/04/2014,HEBERGEMENT,€121,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,JAVAUDIN VERONIQUE,10/04/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,JAVAUDIN VERONIQUE,10/04/2014,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,JAVAUDIN VERONIQUE,11/04/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,JAVAUDIN VERONIQUE,10/04/2014,TRANSPORT,€34,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,JAVAUDIN VERONIQUE,10/04/2014,TRANSPORT,€787,,
SANDOZ,Pharmacien,RIVES DIDIER,30/01/2014,REPAS,€29,,
