ABBOTT PRODUCTS SAS,Médecin,DASSONVAL MARCHANT Jeanine,03/10/2013,REPAS,€60,,
ASTRAZENECA,Médecin,HOUPIN CARLIER BRIGITTE,19/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,HOUPIN CARLIER BRIGITTE,28/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,KASTELIK ANDRE,19/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,KASTELIK ANDRE,28/02/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,DASSONVAL MARCHANT JEANINE,07/11/2013,Hospitalité,€51,,
Bayer HealthCare SAS,Médecin,KASTELIK ANDRE,07/11/2013,Hospitalité,€51,,
Becton Dickinson France SAS,Pharmacien,HUCHETTE CLAUDINE,08/04/2014,REPAS,€27,,
BOIRON,Médecin,HOUPIN CARLIER BRIGITTE,22/01/2014,[REPAS],€21,,
CONGRES COLLOQUES CONVENTIONS,Médecin,CZAJA INGRID,25/01/2014,REPAS,€30,,
DJO France SAS,Pharmacien,CHARLET PAULINE,12/04/2013,Repas,€20,,
DJO France SAS,Pharmacien,CHARLET PAULINE,12/09/2013,Repas,€18,,
DJO France SAS,Pharmacien,PRUVOST FRANCK,31/03/2014,Repas,€14,,
DJO France SAS,Pharmacien,PRUVOST FRANCK,12/04/2013,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BLANCART STEPHANE,12/04/2013,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BLANQUART STEPHANE,31/03/2014,Repas,€14,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAEYART AUDREY,31/03/2014,Repas,€14,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,HAEYART AUDREY,12/04/2013,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEGRAND LOLITA,12/04/2013,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MORTREUX CHRISTELLE,12/04/2013,Repas,€20,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VASSEUR MARJORIE,12/04/2013,Repas,€20,,
ICOMED,Chirurgien-dentiste,LEGRAND REMY,04/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,HOUPIN CARLIER BRIGITTE,20/03/2013,Autre: [Enquête],€30,,
