3M France,Chirurgien-dentiste,BOMBOY STEPHANIE,22/04/2014,REPAS,€21,,
ABBOTT PRODUCTS SAS,Médecin,BROM HUBERT,21/01/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,BROM Hubert,10/12/2013,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,CROMBET GEORGES,21/01/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,CROMBET Georges,10/12/2013,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,LETONDEL Pascal,10/12/2013,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,LETONDEL PASCAL,21/01/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,MOUHAT CHRISTIAN,21/01/2014,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,MOUHAT Christian,10/12/2013,REPAS,€40,,
ALFA WASSERMANN PHARMA,Médecin,BROM HUBERT,13/11/2013,REPAS,€59,,
ALLERGAN FRANCE,Médecin,CLUZEAU GERARD,29/04/2014,REPAS,€58,,
ALLERGAN FRANCE,Médecin,CLUZEAU GERARD,23/07/2013,REPAS,€59,,
ALLERGAN FRANCE,Médecin,CLUZEAU GERARD,16/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CLUZEAU GERARD,24/09/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CLUZEAU GERARD,27/05/2014,REPAS,€12,,
ALLERGAN FRANCE,Médecin,CLUZEAU GERARD,03/12/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,CLUZEAU GERARD,25/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CLUZEAU GERARD,26/09/2013,REPAS,€36,,
ALLERGAN FRANCE,Médecin,DEMONMEROT LAURENT,25/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,DEMONMEROT LAURENT,27/05/2014,REPAS,€12,,
ALLERGAN FRANCE,Médecin,DEMONMEROT LAURENT,24/09/2013,REPAS,€60,,
