AbbVie,Médecin,ALBRECHT CORINNE,12/09/2013,REPAS,€43,,
ASTELLAS PHARMA,Médecin,BOESPFLUG FRANCOIS,15/05/2013,REPAS,€62,,
ASTELLAS PHARMA,Médecin,LEHAIR MARIE ANNICK,20/03/2012,TRANSPORT,€259,,
ASTRAZENECA,Médecin,BOESPFLUG FRANCOIS,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOESPFLUG FRANCOIS,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DETE HENRI,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,DETE HENRI,12/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,DETE HENRI,04/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,DETE HENRI,22/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,DETE HENRI,11/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,GOUTIN FLORENCE,12/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,GOUTIN FLORENCE,22/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,GOUTIN FLORENCE,04/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,GOUTIN FLORENCE,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,GOUTIN FLORENCE,11/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,MANQUANT PHILIPPE,12/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,PAVEAU ALAIN,04/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,PAVEAU ALAIN,22/11/2013,Repas,€43,,
ASTRAZENECA,Médecin,PAVEAU ALAIN,04/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,PAVEAU ALAIN,12/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,VALADE JEAN FRANCOIS,04/07/2013,Repas,€57,,
ASTRAZENECA,Médecin,VALADE JEAN FRANCOIS,09/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,VERGER DROSS ADELINE,08/10/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,PIERSON LAURENCE,22/05/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,RACAUD SOPHIE,22/05/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,BOESFLUG FRANCOIS,18/04/2014,REPAS,€41,,
Bayer HealthCare SAS,Médecin,BOUSCHBACHER JEAN MICHEL,10/12/2013,Hospitalité,€22,,
Bayer HealthCare SAS,Médecin,BOUSCHBACHER JEAN MICHEL,09/04/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,DETE HENRI,27/09/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,DETE HENRI,27/03/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,DETE HENRI,18/04/2014,REPAS,€41,,
Bayer HealthCare SAS,Médecin,MANQUANT PHILIPPE,27/03/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,MANQUANT PHILIPPE,27/09/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,PAVEAU ALAIN,26/03/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,PAVEAU ALAIN,25/09/2013,Hospitalité,€60,,
BIOCODEX,Médecin,BOESPFLUG FRANCOIS,23/05/2014,REPAS,€39,,
BIOCODEX,Médecin,BOESPFLUG FRANCOIS,07/11/2013,REPAS,€48,,
BIOCODEX,Médecin,DETE HENRI,23/05/2014,REPAS,€39,,
BIOCODEX,Médecin,DETE HENRI,07/11/2013,REPAS,€48,,
BIOCODEX,Médecin,GONZALEZ SYLVAIN,23/05/2014,REPAS,€39,,
BIOCODEX,Médecin,GOUTIN FLORENCE,23/05/2014,REPAS,€39,,
BIOCODEX,Médecin,GOUTIN FLORENCE,07/11/2013,REPAS,€48,,
BIOCODEX,Médecin,MANQUANT PHILIPPE,23/05/2014,REPAS,€39,,
BIOCODEX,Médecin,MANQUANT PHILIPPE,07/11/2013,REPAS,€48,,
BIOCODEX,Médecin,PAVEAU ALAIN,23/05/2014,REPAS,€39,,
BIOGARAN,Pharmacien,CASTELLANI PASCAL,14/11/2013,REPAS,€32,,
BIOGARAN,Pharmacien,PIERSON LAURENCE,14/11/2013,REPAS,€32,,
BIOGARAN,Pharmacien,RACAUD SOPHIE,14/11/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOTTINI HELENA,14/11/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEMASI SERAFIN,14/11/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DULAC GAUTIER,14/11/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GOURMEL ISABELLE,14/11/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAGUIN LUCILLE,14/11/2013,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,WEIDMANN SARAH,14/11/2013,REPAS,€32,,
BOIRON,Médecin,DETE HENRI,17/04/2014,[REPAS],€37,,
BOIRON,Médecin,DETE HENRI,13/12/2013,[REPAS],€28,,
BOIRON,Médecin,DETE HENRI,17/04/2014,[REPAS],€37,,
BOIRON,Médecin,GOUTIN FLORENCE,17/04/2014,[REPAS],€37,,
BOIRON,Médecin,GOUTIN FLORENCE,17/04/2014,[REPAS],€37,,
BOIRON,Médecin,GOUTIN FLORENCE,13/12/2013,[REPAS],€28,,
