ABBOTT PRODUCTS SAS,Médecin,GRIGNOUX Michel,28/11/2013,REPAS,€51,,
ASTRAZENECA,Médecin,ARNAUD PHILIPPE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,ARNAUD PHILIPPE,24/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,ARNAUD PHILIPPE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BATIOT FRANCOIS,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BATIOT FRANCOIS,03/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,CIA CAMILLE,07/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CIA CAMILLE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,CIA CAMILLE,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GRIGNOUX MICHEL,12/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,GRIGNOUX MICHEL,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,PENAUD HUGUES,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,PENAUD HUGUES,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,PINTENET ALAIN,11/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,TRANCHEE VERGE VALERIE,14/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,TRANCHEE VERGE VALERIE,24/09/2013,Repas,€57,,
BIOGARAN,Pharmacien,GUILLEMAIN VINCENT,24/06/2014,REPAS,€29,,
BIOGARAN,Pharmacien,SILLAS GAUCHER MARYLINE,24/06/2014,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FENAYROL DOMINIQUE,24/06/2014,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JUNJAUD AUDREY,24/06/2014,REPAS,€29,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FEYNEROL DOMINIQUE,05/11/2013,[REPAS],€22,,
BOIRON,Sage-femme,GUICHON DE LARQUIER ISABELLE,17/10/2013,[REPAS],€40,,
BRISTOL-MYERS SQUIBB,Médecin,DELOUANE JUGLA HANANE,15/07/2013,Repas,€26,,
CHIESI SA,Médecin,ARNAUD PHILIPPE,21/11/2013,Repas,€36,,
CHIESI SA,Médecin,PENAUD HUGUES,21/11/2013,Repas,€36,,
COSMETIQUE ACTIVE FRANCE,Etudiant,GUEGUEN OPHÉLIE,27/01/2014,REPAS,€25,,
COSMETIQUE ACTIVE FRANCE,Etudiant,GUEGUEN OPHÉLIE,14/04/2014,REPAS,€23,,
COSMETIQUE ACTIVE FRANCE,Etudiant,LATOUR DAVID,14/04/2014,REPAS,€23,,
ICOMED,Chirurgien-dentiste,CAMMAS MIREILLE,08/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,STANISLAS DANIEL,08/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,CHAUVET BARON AGNES,11/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MERER PATRICK,05/02/2014,Autre: [Enquête],€25,,
