BOIRON,Médecin,HILLY LAMBERT MARIE ALIX,24/09/2013,[REPAS],€50,,
ICOMED,Chirurgien-dentiste,AGBO ARMAND,21/05/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,HILLY JEAN PIERRE,21/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HILLY JEAN PIERRE,20/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HILLY LAMBERT MARIE ALIX,17/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,HILLY LAMBERT MARIE ALIX,26/02/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,MATHY HUGUES,06/02/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,MATHY HUGUES,21/01/2013,Autre: [Enquête],€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HILLY JEAN PIERRE,20/09/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HILLY JEAN PIERRE,05/09/2013,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HILLY JEAN PIERRE,09/10/2013,REPAS,€46,,
Laboratoires Grünenthal SAS,Médecin,HILLY JEAN PIERRE,17/10/2013,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,HILLY LAMBERT MARIE ALIX,17/10/2013,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,HILLY LAMBERT MARIE ALIX,17/10/2013,REPAS,€55,,
Laboratoires Grünenthal SAS,Pharmacien,MOUTON DOMINIQUE FRANCOISE,17/10/2013,REPAS,€55,,
LES LABORATOIRES SERVIER,Médecin,HILLY JEAN-PIERRE,20/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,LAMBERT HILLY MARIE-ALIX,20/03/2014,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,MATHY HUGUES,20/03/2014,Repas,€55,,
MSD France,Médecin,HILLY JEAN PIERRE,17/04/2014,REPAS,€56,,
MSD France,Médecin,HILLY JEAN PIERRE,01/04/2014,REPAS,€17,,
MSD France,Médecin,HILLY JEAN PIERRE,28/11/2013,REPAS,€29,,
MSD France,Médecin,HILLY JEAN PIERRE,17/04/2014,REPAS,€56,,
MSD France,Médecin,HILLY JEAN PIERRE,01/04/2014,REPAS,€17,,
NOVARTIS PHARMA SAS,Médecin,HILLY JEAN PIERRE,03/04/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVO NORDISK,Médecin,HILLY JEAN PIERRE,23/05/2014,REPAS,€60,,
NOVO NORDISK,Médecin,HILLY LAMBERT MARIE ALIX,23/05/2014,REPAS,€60,,
SANOFI AVENTIS FRANCE,Infirmier,CLAUDEL EMMANUELLE,06/05/2014,Repas,€26,,
SANOFI AVENTIS FRANCE,Infirmier,DEVER NICOLE,06/05/2014,Repas,€26,,
SANOFI AVENTIS FRANCE,Médecin,HILLY JEAN PIERRE,10/04/2014,Repas,€21,,
SANOFI AVENTIS FRANCE,Médecin,HILLY LAMBERT MARIE ALIX,06/05/2014,Repas,€26,,
