3M France,Chirurgien-dentiste,GARONNAIRE FRAN‚OISE,10/04/2014,REPAS,€68,,
AbbVie,Médecin,FOND LAURENT,22/05/2014,REPAS,€43,,
AbbVie,Médecin,FOND LAURENT,18/04/2014,REPAS,€13,,
ALK-Abelló,Médecin,GIROUD FRANCOIS,12/12/2013,AUTRE : [RESTAURATION],€58,,
ANTHOGYR,Médecin,GARONNAIRE Françoise,31/01/2013,Repas ou Hébèrgement,€19,,
ARCHIMEDES PHARMA France,Infirmier,CROSATO ALEXANDRA,06/09/2013,Repas,€18,,
ARCHIMEDES PHARMA France,Infirmier,MOULIN FLORENT,06/09/2013,Repas,€18,,
ASTELLAS PHARMA,Médecin,BRUYAS JEAN MICHEL,13/02/2014,REPAS,€38,,
ASTELLAS PHARMA,Médecin,FONTANEY LAURENCE,13/02/2014,REPAS,€38,,
ASTELLAS PHARMA,Médecin,FONTANEY LAURENCE,30/05/2013,REPAS,€42,,
ASTELLAS PHARMA,Médecin,PONCET MICHELE,13/02/2014,REPAS,€38,,
ASTRAZENECA,Etudiant,OWONA CHRISTINE,27/02/2014,Repas,€57,,
ASTRAZENECA,Infirmier,BONNEFOY BUREL PASCALE,13/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,BONNEFOY BUREL PASCALE,04/07/2013,Repas,€20,,
ASTRAZENECA,Infirmier,BOULON EMMANUEL,13/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,BOULON EMMANUEL,15/10/2013,Repas,€20,,
ASTRAZENECA,Infirmier,BOURRISSOUX JACQUELINE,13/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,BOURRISSOUX JACQUELINE,04/07/2013,Repas,€20,,
ASTRAZENECA,Infirmier,BOURRISSOUX JACQUELINE,15/10/2013,Repas,€20,,
ASTRAZENECA,Infirmier,CIZERON CATHERINE,04/07/2013,Repas,€20,,
ASTRAZENECA,Infirmier,CIZERON CATHERINE,04/07/2013,Repas,€20,,
ASTRAZENECA,Infirmier,CIZERON CATHERINE,15/10/2013,Repas,€20,,
ASTRAZENECA,Infirmier,CONTARDO CHRISTELLE,04/07/2013,Repas,€20,,
ASTRAZENECA,Infirmier,CONTARDO CHRISTELLE,13/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,CONTARDO CHRISTELLE,15/10/2013,Repas,€20,,
ASTRAZENECA,Infirmier,GRATALOUP NICOLE,13/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,GRATALOUP NICOLE,15/10/2013,Repas,€20,,
ASTRAZENECA,Infirmier,GRATALOUP NICOLE,04/07/2013,Repas,€20,,
ASTRAZENECA,Infirmier,HUGUES AURELIE,04/07/2013,Repas,€20,,
ASTRAZENECA,Infirmier,HUGUES AURELIE,15/10/2013,Repas,€20,,
ASTRAZENECA,Infirmier,HUGUES AURELIE,13/02/2014,Repas,€25,,
ASTRAZENECA,Infirmier,LARFEUILLE ANNIE,04/07/2013,Repas,€20,,
ASTRAZENECA,Infirmier,LARFEUILLE ANNIE,15/10/2013,Repas,€20,,
ASTRAZENECA,Infirmier,SEN SUKRAN,13/02/2014,Repas,€25,,
ASTRAZENECA,Médecin,ARGOUBI IDRISSI HOURIA,18/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,ARGOUBI IDRISSI HOURIA,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BRUSSON ANAIS,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BRUYAS JEAN MICHEL,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEVILLE MARIE CLAIRE,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DOUSTEYSSIER MICHEL,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DOYEN DOMINIQUE,26/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,FONTANEY LAURENCE,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,JACQUIN LAURENCE,16/11/2013,Autre,€98,,
