Bayer HealthCare SAS,Médecin,LETHON JAMES,23/05/2014,Hospitalité,€49,,
BRISTOL-MYERS SQUIBB,Médecin,LETHON JAMES,29/04/2014,Repas,€59,,
BRISTOL-MYERS SQUIBB,Médecin,LETHON JAMES,25/02/2014,Repas,€51,,
DAIICHI SANKYO FRANCE SAS,Médecin,LETHON JAMES,17/10/2013,Repas,€45,,
ICOMED,Médecin,LETHON JAMES,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,COUPEAU CHRISTIAN,27/05/2014,Autre: [Enquête],€24,,
ICOMED,Pharmacien,COUPEAU CHRISTIAN,18/06/2014,Autre: [Enquête],€16,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,COUPEAU CHRISTIAN,23/05/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CROISSANT VALERIE,23/05/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CROISSANT-GLAUD VALERIE,15/10/2013,INVITATIONS,€20,,
MENARINI FRANCE,Médecin,LETHON JAMES,17/10/2013,REPAS,€55,,
Molnlycke Health Care,Infirmier,DESNOS ELISABETH,20/02/2014,REPAS,€21,,
MSD France,Médecin,MUSCAT THIERRY,27/03/2014,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,LETHON JAMES,10/04/2014,Autre : [Participation Evenement Scientifique],€45,,
NOVARTIS PHARMA SAS,Médecin,LETHON JAMES,24/04/2014,Autre : [Participation Evenement Scientifique],€40,,
NOVARTIS PHARMA SAS,Médecin,LETHON JAMES,20/06/2014,Repas,€47,,
NOVARTIS PHARMA SAS,Médecin,MUSCAT THIERRY,17/10/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Pharmacien,COUPEAU CHRISTIAN,24/04/2014,Autre : [Participation Evenement Scientifique],€40,,
SANOFI AVENTIS FRANCE,Pharmacien,COUPEAU CHRISTIAN,20/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,CROISSANT VALERIE,20/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FAUCHER AMELIE,20/05/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GARNEVAULT VANESSA,20/05/2014,Repas,€40,,
SANOFI PASTEUR MSD SNC,Médecin,LETHON JAMES,05/09/2013,Repas,€45,,
