3M France,Chirurgien-dentiste,MOTHERON JEAN MARIE,15/05/2014,REPAS,€22,,
ABBOTT FRANCE,Etudiant,NIVERT CHARLENE,23/01/2014,REPAS,€20,,
ABBOTT FRANCE,Pharmacien,COLLIN-DORCA AURELIEN,23/01/2014,REPAS,€20,,
ABBOTT FRANCE,Pharmacien,COUTY LOUISE,23/01/2014,REPAS,€20,,
ABBOTT FRANCE,Pharmacien,GERBIER PASCALE,23/01/2014,REPAS,€20,,
ABBOTT FRANCE,Pharmacien,JAMET DIDIER,23/01/2014,REPAS,€20,,
ABBOTT FRANCE,Pharmacien,SAULNIER AUDREY,23/01/2014,REPAS,€20,,
ABBOTT FRANCE,Pharmacien,SEPCHAT RATO BEATRICE,23/01/2014,REPAS,€20,,
ABBOTT FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAUVEAU JULIE,23/01/2014,REPAS,€20,,
ABBOTT FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JACQUIN GERARD,23/01/2014,REPAS,€20,,
ABBOTT PRODUCTS SAS,Médecin,BION Eric,13/12/2013,REPAS,€11,,
ABBOTT PRODUCTS SAS,Médecin,CHAMBON Jacques,13/12/2013,REPAS,€11,,
ABBOTT PRODUCTS SAS,Médecin,MICHEAUX JEAN PIERRE,20/06/2014,REPAS,€31,,
AbbVie,Médecin,BION ERIC,08/04/2014,REPAS,€54,,
AbbVie,Médecin,CHAMBON JACQUES,20/02/2014,REPAS,€54,,
AbbVie,Médecin,CHAMBON JACQUES,26/09/2013,Repas,€40,,
ALK-Abelló,Médecin,BENSIGNOR LUCILE,28/11/2013,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,BENSIGNOR LUCILE,10/10/2013,AUTRE : [INSCRIPTION],€450,,
ALK-Abelló,Médecin,BENSIGNOR LUCILE,25/03/2014,Autre : [Restauration],€55,,
ALK-Abelló,Médecin,BENSIGNOR LUCILE,10/10/2013,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,BENSIGNOR LUCILE,10/10/2013,AUTRE : [INSCRIPTION],€450,,
ALK-Abelló,Médecin,BENSIGNOR LUCILE,10/10/2013,HEBERGEMENT,€152,,
ALK-Abelló,Médecin,BENSIGNOR LUCILE,25/03/2014,Autre : [Restauration],€55,,
ALK-Abelló,Médecin,BENSIGNOR LUCILE,28/11/2013,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,BENSIGNOR CLAVEL LUCILE,27/01/2012,AUTRE : [RESTAURATION],€54,,
ALK-Abelló,Médecin,BENSIGNOR CLAVEL LUCILE,19/03/2012,AUTRE : [RESTAURATION],€20,,
ALK-Abelló,Médecin,BENSIGNOR CLAVEL LUCILE,27/01/2012,AUTRE : [INSCRIPTION],€220,,
ALK-Abelló,Médecin,BENSIGNOR CLAVEL LUCILE,27/01/2012,HEBERGEMENT,€230,,
ALK-Abelló,Médecin,BENSIGNOR CLAVEL LUCILE,27/01/2012,TRANSPORT,€173,,
ALLERGAN FRANCE,Médecin,DE CHAZELLES MARIE JACQUES,26/07/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,DE CHAZELLES MARIE JACQUES,21/09/2013,TRANSPORT,€314,,
ALLERGAN FRANCE,Médecin,DE CHAZELLES MARIE JACQUES,21/09/2013,AUTRE,€590,,
ALLERGAN FRANCE,Médecin,DE CHAZELLES MARIE JACQUES,18/09/2013,REPAS,€48,,
ALLERGAN FRANCE,Médecin,DE CHAZELLES MARIE JACQUES,21/09/2013,HOSPITALITE,€70,,
ALLERGAN FRANCE,Médecin,DE CHAZELLES MARIE JACQUES,21/09/2013,HEBERGEMENT,€650,,
ALLERGAN FRANCE,Médecin,DE CHAZELLES MARIE-JACQUES,11/06/2014,REPAS,€24,,
ALLERGAN FRANCE,Médecin,LALLEMAND BERTRAND,11/06/2014,REPAS,€24,,
ALLERGAN FRANCE,Médecin,LALLEMAND BERTRAND,15/10/2013,REPAS,€42,,
ALLERGAN FRANCE,Médecin,LALLEMAND BERTRAND,26/07/2013,REPAS,€50,,
alliance healthcare repartition,Pharmacien,SEPCHAT RATO BEATRICE,10/04/2014,Repas,€18,,
APTALIS PHARMA SAS,Médecin,BION ERIC,15/05/2014,FRAIS D'HOSPITALIT,€15,,
APTALIS PHARMA SAS,Médecin,BION ERIC,15/05/2014,FRAIS D'HOSPITALIT,€17,,
APTALIS PHARMA SAS,Médecin,BION ERIC,15/05/2014,FRAIS D'HOSPITALIT,€43,,
ARAIR Assistance,Médecin,Salloum Samir,22/11/2012,Hébergement Transport Inscription,€951,,
ARAIR Assistance,Médecin,SALLOUM Samir,27/01/2012,Hébergement,€563,,
ASPIDE MEDICAL,Infirmier,GARIER MELANIE,24/10/2013,REPAS,€22,,
ASPIDE MEDICAL,Infirmier,GARIER MELANIE,24/10/2013,FRAIS DE TRANSPORT,€174,,
ASPIDE MEDICAL,Infirmier,GARIER MELANIE,24/10/2013,FRAIS D'HEBERGEMENT,€250,,
ASPIDE MEDICAL,Infirmier,GARIER MELANIE,24/10/2013,AUTRE: [FRAIS D'INSCRIPTION A LA MANIFESTATION],€650,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,GILLOT JEAN,14/04/2014,REPAS,€31,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,20/03/2014,REPAS,€51,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,23/03/2014,REPAS,€35,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,13/02/2014,REPAS,€156,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,24/05/2014,REPAS,€21,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,03/04/2014,REPAS,€18,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,22/03/2014,REPAS,€63,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,07/05/2014,REPAS,€30,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,24/03/2014,REPAS,€16,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,14/05/2014,REPAS,€30,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,11/06/2014,REPAS,€25,,
ASSISTANCES MEDICALES SPECIALISEES,Médecin,NEHME JONNY,14/05/2014,REPAS,€30,,
ASTELLAS PHARMA,Infirmier,VATINE YOLAINE,14/03/2013,REPAS,€13,,
ASTELLAS PHARMA,Médecin,BONVALET ALAIN,20/03/2013,HOSPITALITE,€250,,
ASTELLAS PHARMA,Médecin,DE MATTIA BERNARD,22/03/2013,TRANSPORT,€31,,
ASTELLAS PHARMA,Médecin,STOERI MATHILDE,20/03/2013,HOSPITALITE,€100,,
ASTELLAS PHARMA,Médecin,VARDI ADAM,22/11/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,VARDI ADAM,22/11/2012,HEBERGEMENT,€250,,
ASTELLAS PHARMA,Médecin,VARDI ADAM,11/06/2014,REPAS,€40,,
ASTELLAS PHARMA,Médecin,VARDI ADAM,21/11/2012,HEBERGEMENT,€250,,
ASTELLAS PHARMA,Médecin,VARDI ADAM,23/11/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,VARDI ADAM,23/11/2012,HEBERGEMENT,€250,,
ASTELLAS PHARMA,Médecin,VARDI ADAM,21/11/2012,INVITATIONS,€540,,
ASTELLAS PHARMA,Médecin,VARDI ADAM,24/11/2012,HEBERGEMENT,€250,,
ASTELLAS PHARMA,Médecin,VARDI ADAM,21/11/2012,REPAS,€60,,
ASTRAZENECA,Etudiant,BERGOUIGNAN BERTRAND,12/03/2014,Repas,€57,,
