AMGEN SAS,Médecin,ROLLAND VALERIE,18/04/2014,REPAS IMPROMPTU,€22,,
ASTRAZENECA,Médecin,GRANJEAN MYRIAM,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,GRANJEAN MYRIAM,04/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,GRANJEAN MYRIAM,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LECHEVALIER ANNE,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LECHEVALIER ARNAUD,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEVI FELLOUS ANNA,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEVI FELLOUS ANNA,04/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,RIBAUD PATRICK,27/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,RIBAUD PATRICK,04/12/2013,Repas,€57,,
BOIRON,Médecin,GRANJEAN MYRIAM,03/04/2014,[REPAS],€12,,
BOIRON,Médecin,GRANJEAN MYRIAM,03/04/2014,[REPAS],€12,,
BOIRON,Médecin,GRANJEAN MYRIAM,19/06/2014,[REPAS],€14,,
Cyberonics SA,Aide soignant,Fernades Claire,12/06/2014,REPAS,€25,,
Cyberonics SA,Aide soignant,Gratto Sophie,12/06/2014,REPAS,€25,,
Cyberonics SA,Infirmier,Pitrot Morgane,12/06/2014,REPAS,€25,,
Cyberonics SA,Médecin,Didon-Robin Brigite,12/06/2014,REPAS,€25,,
Cyberonics SA,Médecin,Dutartre M. Chantal,12/06/2014,REPAS,€25,,
Cyberonics SA,Médecin,Freour Sarah,12/06/2014,REPAS,€25,,
Cyberonics SA,Médecin,Lefoure Fred,12/06/2014,REPAS,€25,,
Cyberonics SA,Médecin,Romain Claude,12/06/2014,REPAS,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,AGNESE GENEVIEVE,03/04/2014,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BILLARD DI MARIA EMMANUELLE,03/04/2014,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,CALIXTE VERONIQUE,03/04/2014,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,MEARY COLETTE,03/04/2014,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,PEPILLO ISABELLE,03/04/2014,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BELLIN ALICIA,03/04/2014,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FASSBIND GENEVIEVE,03/04/2014,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTIN VERONIQUE,03/04/2014,Repas,€34,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTINET CATHERINE,03/04/2014,Repas,€34,,
LABORATOIRES CONVATEC,Infirmier,BERNADAS FLOREAL,10/10/2013,DINER,€50,,
LABORATOIRES CONVATEC,Infirmier,BERNADAS FLOREAL,19/01/2014,HEBERGEMENT,€39,,
LABORATOIRES URGO,Médecin,LECHEVALLIER ARNAUD,12/09/2013,REPAS,€11,,
LABORATOIRES URGO,Médecin,LEVI-FELLOUS ANNA,12/09/2013,REPAS,€11,,
Molnlycke Health Care,Infirmier,BERNADAS FLOREAL,15/01/2014,CADEAUX,€40,,
NOVARTIS PHARMA SAS,Médecin,ROUSSET PATRICIA,23/01/2014,Transport,€748,,
NOVARTIS PHARMA SAS,Médecin,ROUSSET PATRICIA,23/01/2014,Repas,€152,,
NOVARTIS PHARMA SAS,Médecin,ROUSSET PATRICIA,23/01/2014,Hébergement,€176,,
PIERRE FABRE MEDICAMENT,Pharmacien,CALIXTE VERONIQUE,18/02/2013,Frais de dÃƒÂ©placement,€315,,
PIERRE FABRE MEDICAMENT,Pharmacien,CALIXTE VERONIQUE,17/02/2013,HospitalitÃƒÂ©,€157,,
PIERRE FABRE MEDICAMENT,Pharmacien,CALIXTE VERONIQUE,17/02/2013,HospitalitÃƒÂ©,€157,,
PIERRE FABRE MEDICAMENT,Pharmacien,CALIXTE VERONIQUE,17/02/2013,Frais de dÃƒÂ©placement,€63,,
PIERRE FABRE MEDICAMENT,Pharmacien,PEPILLO ISABELLE,17/02/2013,Frais de dÃƒÂ©placement,€63,,
PIERRE FABRE MEDICAMENT,Pharmacien,PEPILLO ISABELLE,17/02/2013,HospitalitÃƒÂ©,€157,,
PIERRE FABRE MEDICAMENT,Pharmacien,PEPILLO ISABELLE,17/02/2013,HÃƒÂ©bergement,€127,,
PIERRE FABRE MEDICAMENT,Pharmacien,PEPILLO ISABELLE,18/02/2013,Frais de dÃƒÂ©placement,€315,,
TEVA SANTE SAS,Médecin,ROLLAND VALERIE,12/02/2014,REPAS,€14,,
UCB Pharma SA,Médecin,LEFEVRE FREDERIQUE,28/01/2014,Repas,€36,,
