ABBOTT PRODUCTS SAS,Médecin,JEAN Emmanuel,29/11/2013,REPAS,€29,,
ALFA WASSERMANN PHARMA,Médecin,GEFFRAY EMMANUELLE,26/03/2014,REPAS,€34,,
ALFA WASSERMANN PHARMA,Médecin,LAGON FRANCOIS,27/03/2014,REPAS,€34,,
ALFA WASSERMANN PHARMA,Médecin,LAGON FRANCOIS,26/09/2013,REPAS,€40,,
ALFA WASSERMANN PHARMA,Médecin,SIMON NATHALIE,26/03/2014,REPAS,€34,,
ALFA WASSERMANN PHARMA,Médecin,SIMON NATHALIE,26/09/2013,REPAS,€40,,
ALFA WASSERMANN PHARMA,Médecin,WAJEMAN SOPHIE,26/03/2014,REPAS,€34,,
ALFA WASSERMANN PHARMA,Médecin,WAJEMAN SOPHIE,26/09/2013,REPAS,€40,,
ASTELLAS PHARMA,Médecin,GEFFRAY EMMANUELLE,13/06/2013,REPAS,€37,,
ASTELLAS PHARMA,Médecin,LAGON FRANCOIS,13/06/2013,REPAS,€37,,
ASTELLAS PHARMA,Médecin,LAUNAY OLIVIER,20/03/2014,REPAS,€45,,
ASTELLAS PHARMA,Médecin,LAUNAY OLIVIER,24/05/2013,REPAS,€55,,
ASTELLAS PHARMA,Médecin,SIMON NATHALIE,13/06/2013,REPAS,€37,,
ASTELLAS PHARMA,Médecin,VALLEE EDOUARD,20/03/2014,REPAS,€45,,
ASTELLAS PHARMA,Médecin,WAJEMAN SOPHIE,08/02/2013,REPAS,€26,,
ASTRAZENECA,Etudiant,BOURDON ANNE,04/09/2013,Repas,€57,,
ASTRAZENECA,Etudiant,TANASE CHIRCA ELENA,19/03/2014,Repas,€57,,
ASTRAZENECA,Infirmier,AUGUSTE ANNIE,14/02/2014,Repas,€25,,
ASTRAZENECA,Médecin,BINET DIDIER,24/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BINET DIDIER,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,DEBROCZI TIBOR,05/06/2014,Repas,€29,,
ASTRAZENECA,Médecin,DE GEYER ALAIN,11/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DE GEYER ALAIN,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUMONT PATRICE,11/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DUMONT PATRICE,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,JEAN EMMANUEL,26/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,LAGON FRANCOIS,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAGON FRANCOIS,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAUNAY OLIVIER,26/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,LE BRIS ALINE,11/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LECROEL MIREILLE,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LUCAS DAVID,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LUCAS DAVID,11/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,RISBEC GUY,04/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,RISBEC GUY,02/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,RISBEC GUY,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,SIMON NATHALIE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,SIMON NATHALIE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,WAJEMAN SOPHIE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,WAJEMAN SOPHIE,19/09/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,GOUDAL LAURENT,03/04/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,LECARDONNEL ASTRID,24/09/2013,Repas,€57,,
AUDIOMEDI SAS,Audioprothésiste,CHATAIN HELENE,22/05/2014,REPAS,€15,,
AUDIOMEDI SAS,Audioprothésiste,TREHOUT SABINE,22/05/2014,REPAS,€15,,
Bayer HealthCare SAS,Médecin,DEMATTEO PHILIPPE,25/02/2014,Hospitalité,€19,,
Bayer HealthCare SAS,Médecin,GUIVARCH ISABELLE,25/02/2014,Hospitalité,€19,,
Bayer HealthCare SAS,Médecin,LAGON FRANCOIS,24/10/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,LAGON FRANCOIS,24/04/2014,Hospitalité,€34,,
Bayer HealthCare SAS,Médecin,LANGLOIS INES,24/04/2014,Hospitalité,€34,,
Bayer HealthCare SAS,Médecin,LAUNAY OLIVIER,15/05/2014,Hospitalité,€21,,
Bayer HealthCare SAS,Médecin,PILORGET AURELIE,24/10/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,SIMON NATHALIE,24/04/2014,Hospitalité,€34,,
Bayer HealthCare SAS,Médecin,SIMON NATHALIE,24/10/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,VALLEE EDOUARD,24/10/2013,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,WAJEMAN SOPHIE,24/04/2014,Hospitalité,€34,,
BIOCODEX,Médecin,BEAUFILS JEAN,21/11/2013,REPAS,€23,,
BIOCODEX,Médecin,GEFFRAY EMMANUELLE,12/06/2014,REPAS,€45,,
BIOCODEX,Médecin,LAGON FRANCOIS,12/06/2014,REPAS,€45,,
BIOCODEX,Médecin,LAUNAY OLIVIER,21/11/2013,REPAS,€23,,
BIOCODEX,Médecin,LUCAS DAVID,21/11/2013,REPAS,€23,,
BIOCODEX,Médecin,NEEZ LUCE,21/11/2013,REPAS,€23,,
BIOCODEX,Médecin,SAMSON PHILIPPE,12/06/2014,REPAS,€45,,
BIOCODEX,Médecin,SIMON NATHALIE,12/06/2014,REPAS,€45,,
BIOCODEX,Médecin,WAJEMAN SOPHIE,12/06/2014,REPAS,€45,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BINET DIDIER,16/01/2014,HOSPITALITE,"€1,041",,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEMATTEO PHILIPPE,16/01/2014,HOSPITALITE,€791,,
