AXONAL,Chirurgien-dentiste,COSSET RISGALLAH Rekha,12/01/2014,12/01/2014 -,CONVENTION RECHERCHE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROCABOY JEROME,15/10/2013,15/10/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,ROCABOY JEROME,18/03/2014,18/03/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,ROCABOY JEROME,10/04/2014,10/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,ROCABOY JEROME,07/11/2013,07/11/2013 -,Autre : Manifestation scientifique,,
MAPI SAS,Etablissement de santé,PHARMACIE NOGET & LE BESCOT SELA,22/12/2013,22/12/2013 -,CONVENTION DE RECHERCHE,,
MAPI SAS,Pharmacien,NOGET PHILIPPE,22/12/2013,22/12/2013 -,CONVENTION DE RECHERCHE,,
MENARINI FRANCE,Médecin,ROCABOY JEROME,06/02/2014,06/02/2014 - 06/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,ROCABOY JEROME,27/03/2014,27/03/2014 - 27/03/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,ROCABOY JEROME,20/05/2014,20/05/2014 - 20/05/2014,Autre : Réunion scientifique,,
MSD France,Médecin,ROCABOY JEROME,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MUNDIPHARMA,Médecin,ROCABOY JEROME,08/06/2013,08/06/2013 - 08/06/2013,AUTRE : CONVENTION D'HOSPITALITE,,
