A+A,Pharmacien,BRUNCHER MORGANE,17/12/2012,17/12/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,AUBERTIN JEAN PIERRE,27/11/2013,27/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GUILLAUMOT OLIVIER,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILLAUMOT OLIVIER,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,SEGAL ISABELLE,01/10/2013,01/10/2013 -,Formation,,
ASTRAZENECA,Médecin,SEGAL ISABELLE,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,WALDURA DAVID,25/03/2014,25/03/2014 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,BRUGNOT JEAN FRANCOIS,04/07/2013,04/07/2013 - 04/07/2013,Autre : [ hospitalité ],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE GUERLET,01/01/2014,01/01/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE GUERLET,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
Laboratoires Grünenthal SAS,Médecin,VINEL BENOIT,18/04/2014,18/04/2014 -,REUNION SCIENTIFIQUE,,
PASCALEO,Médecin,SIRI CATHERINE,21/05/2014,21/05/2014 -,AUTRE,,
PIERRE FABRE MEDICAMENT,Médecin,BOZETTI DANIEL,23/04/2014,23/04/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,PASQUINI AUDREY,23/05/2014,23/05/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,VINEL BENOIT,02/10/2013,02/10/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,VINEL BENOIT,07/01/2014,07/01/2014 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Pharmacien,GUERLET GUILLAUME,09/04/2014,09/04/2014 - 09/04/2014,Autre : [Réunion],,
Takeda France,Médecin,GORI Stephane,25/10/2013,25/10/2013 - 25/10/2013,Autre: [Convention d'hospitalité],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU MARCHE,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LAMBERT PAQUET / SNC,13/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
