AbbVie,Médecin,BERNUT GUY,14/03/2014,14/03/2014 -,RECHERCHE,,
ASTRAZENECA,Etudiant,LAGNIER PIERRE YVES,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BERNUT GUY,18/10/2013,18/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BERNUT GUY,18/02/2014,18/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CLAUDEL DAMIEN,18/10/2013,18/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DE TAXIS DU POET ISABELLE,18/10/2013,18/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DE TAXIS DU POET ISABELLE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DE TAXIS DU POET ISABELLE,18/02/2014,18/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DE TAXIS DU POET ISABELLE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,SIVIER VINCENT,18/10/2013,18/10/2013 -,Formation,,
Bayer HealthCare SAS,Masseur-kinésithérapeute,MOUTON JEAN YVES,05/09/2013,05/09/2013 - 05/09/2013,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,BERNUT GUY,14/01/2013,14/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
LES LABORATOIRES SERVIER,Médecin,BERNUT GUY,29/01/2014,29/01/2014 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,SIVIER VINCENT,07/05/2014,07/05/2014 -,Recherche,,
MENARINI FRANCE,Médecin,DE TAXIS DU POET ISABELLE,24/05/2014,24/05/2014 - 25/05/2014,Congrès / Symposium,,
MSD France,Médecin,CLAUDEL DAMIEN,11/02/2014,11/02/2014 -,CONVENTION D’HOSPITALITÉ,,
Otsuka Pharmaceutical France SAS,Médecin,SILLITTO SERGE,03/04/2014,03/04/2014 -,Autre:[HOSPITALITE],,
PASCALEO,Médecin,DE TAXIS DU POET ISABELLE,25/03/2014,25/03/2014 -,AUTRE,,
PIERRE FABRE MEDICAMENT,Médecin,BERNUT GUY,13/11/2013,13/11/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DE TAXIS DU POET ISABELLE,03/04/2014,03/04/2014 -,CONVENTION D'HOSPITALITE,,
