A+A,Pharmacien,GIUSTI ANDRE,16/04/2014,15/04/2014 -,ETUDE DE MARCHE,,
ALLERGAN FRANCE,Médecin,CAUJOLLE JEAN-PIERRE,18/09/2013,18/09/2013 - 17/09/2014,AUTRE,,
ASTRAZENECA,Médecin,BOIFFIER Matthieu,29/11/2013,29/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,COPELOVICI Samuel,29/11/2013,29/11/2013 -,Congrès / Symposium,,
B3TSI,Médecin,GUILLAIN GERARD,19/06/2014,19/06/2014 -,autre : enquête téléphonique,,
B3TSI,Médecin,YOUSSEF KHALED,13/06/2014,13/06/2014 -,autre : enquête téléphonique,,
Bayer HealthCare SAS,Fondation,IMPACT EVENTS,26/02/2014,28/03/2014 - 29/03/2014,Autre :Contrat de location de stand,,
Bayer HealthCare SAS,Médecin,ACTIS LAVERGNE JANNY,19/12/2013,19/12/2013 - 19/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CAUJOLLE JEAN PIERRE,24/05/2014,24/05/2014 - 24/05/2014,INVITATION A UN CONGRES,,
Bayer HealthCare SAS,Médecin,COPELOVICI SAMUEL,15/11/2013,15/11/2013 - 15/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,COPELOVICI SAMUEL,14/02/2014,14/02/2014 - 14/02/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,COSTA AUGUSTE,19/12/2013,19/12/2013 - 19/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,GUIRAL MARIE CLAUDE,12/11/2013,12/11/2013 - 12/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LETHURGEZ PASCAL,19/12/2013,19/12/2013 - 19/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,THEVENOT GUIHARD MARTINE,28/06/2014,28/06/2014 - 28/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,VALFORT HUGUES,14/02/2014,14/02/2014 - 14/02/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,VALFORT HUGUES,15/11/2013,15/11/2013 - 15/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,WENTZY EDOUARD,19/12/2013,19/12/2013 - 19/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BOYER MARTINE,31/01/2014,31/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,MARTIGNE PHILIPPE,06/02/2014,06/02/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
