A+A,Médecin,MIGLIORELLI CATHERINE,30/03/2012,30/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CIBAUD LE TURDU NATHALIE,16/12/2013,16/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CONSTANTIN JEAN LOUIS,16/12/2013,16/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LOUVEAU PASCALE,02/06/2014,02/06/2014 -,Formation,,
ASTRAZENECA,Médecin,LOUVEAU PASCALE,16/12/2013,16/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MIGLIORELLI CATHERINE,02/06/2014,02/06/2014 -,Formation,,
ASTRAZENECA,Médecin,MIGLIORELLI CATHERINE,16/12/2013,16/12/2013 -,Formation,,
ASTRAZENECA,Médecin,PAILLOT GAELLE,02/06/2014,02/06/2014 -,Formation,,
ASTRAZENECA,Médecin,PAILLOT GAELLE,16/12/2013,16/12/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,MIGLIORELLI CATHERINE,31/03/2014,31/03/2014 - 31/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Autres types de personne morale,PHARMACIE DU VIVIERS DU LAC,30/08/2013,30/08/2013 -,[RECHERCHE],,
BOIRON,Médecin,CIBAUD LE TURDU NATHALIE,28/11/2013,28/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,GAIME MARIE-FRANCE,18/04/2014,18/04/2014 -,[FORMATION],,
EXAFIELD,Médecin,PROVENCAL Jocelyne,01/01/2014,01/01/2014 -,MARKETING,,
LABORATOIRE GLAXOSMITHKLINE,Association professionnel de santé,ASSOCIATION FREELUNG,23/06/2014,23/06/2014 -,Autre :[stand],,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,PANDRAUX AGNES,27/06/2014,27/06/2014 - 27/12/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES COLOPLAST,Infirmier,MAILLARD CHRISTINE,13/11/2013,13/11/2013 -,Autre : convention d'hospitalité,,
LOL PHARMA,Pharmacien,GAIME MARIE FRANCE GAIME MARIE FRANCE,13/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Association professionnel de santé,FREELUNG,09/04/2013,09/04/2013 -,PRESTATION ÉVÈNEMENTIELLE (STAND, AUTRE),,
MSD France,Infirmier,ANDREYS VERONIQUE,22/01/2013,22/01/2013 -,CONVENTION D’HOSPITALITÉ,,
