Amplifon Groupe France,Médecin,BRAMI Serge,29/09/2013,29/09/2013 - 02/10/2013,CONGRES,,
ASTRAZENECA,Médecin,DEL PHILIPPE,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DEL PHILIPPE,15/05/2014,15/05/2014 -,Formation,,
AXONAL,Chirurgien-dentiste,QUINSAC Jean michel,14/01/2014,14/01/2014 -,CONVENTION RECHERCHE,,
Bayer HealthCare SAS,Médecin,DEL PHILIPPE,06/06/2013,06/06/2013 - 06/06/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,DEL PHILIPPE,13/03/2014,13/03/2014 - 13/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,FENNINGER FONTAINE ELISABETH,26/03/2014,26/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,JEGOU BRUNO,13/03/2014,13/03/2014 - 13/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GOUHIER GERALDINE,26/11/2013,26/11/2013 -,[FORMATION],,
Health Advances,Médecin,Chouillard Elie,03/02/2014,03/02/2014 -,phone consults,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEL PHILIPPE,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEL PHILIPPE,12/06/2014,12/06/2014 - 12/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEL PHILIPPE,13/11/2013,13/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Bailleul,Médecin,HENN Ulrich,03/02/2014,03/02/2014 -,Formation,,
Laboratoires Bailleul,Médecin,HENN 		  				 Ulrich,23/09/2013,23/09/2013 -,Formation,,
LES LABORATOIRES SERVIER,Médecin,DEL PHILIPPE,19/11/2013,19/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DEL PHILIPPE,03/04/2014,03/04/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DEL PHILIPPE,12/09/2013,12/09/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,LEVY LEVY,30/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,LEVY LEVY,30/04/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
