ASTRAZENECA,Médecin,TIGNOL FRANCOIS,29/01/2014,29/01/2014 -,Formation,,
Bayer HealthCare SAS,Sage-femme,BONNARDOT NATHALIE,10/06/2014,10/06/2014 - 10/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Sage-femme,BONNARDOT NATHALIE,10/04/2014,10/04/2014 -,[FORMATION],,
CHIESI SA,Médecin,BOY JEAN PAUL,04/12/2013,04/12/2013 - 04/12/2013,Autre : HOSPITALITE RP,,
LOL PHARMA,Pharmacien,CHAUMERLIAC ET SAPHARY CHAUMERLIAC ET SAPHARY,22/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CHAUMERLIAC ET SAPHARY CHAUMERLIAC ET SAPHARY,22/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CHAUMERLIAC ET SAPHARY CHAUMERLIAC ET SAPHARY,22/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,CHAUMERLIAC ET SAPHARY CHAUMERLIAC ET SAPHARY,22/03/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MSD France,Médecin,BOY JEAN PAUL,20/02/2014,20/02/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TIGNOL FRANCOIS,12/06/2014,12/06/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,TIGNOL FRANCOIS,18/12/2013,18/12/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CHAUMERLIAC SAPHARY / SELARL,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CHAUMERLIAC SAPHARY / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CHAUMERLIAC SAPHARY / SELARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE CHAUMERLIAC SAPHARY / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE MEAUZAC / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE THEOPOLITAINE / SELARL,07/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
