A+A,Médecin,VOUZELAUD DAUVERGNE MARIE,18/07/2013,17/07/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,BATIFOL AUVERGNE BEATRICE,20/02/2014,20/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,BINOUS MALIKA,20/02/2014,20/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,CASSE VALERIE,13/09/2013,13/09/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,CASSE VALERIE,20/11/2013,20/11/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,CASSE VALERIE,23/04/2014,23/04/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Infirmier,PLANCHE DOMINIQUE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BOUCHEMAL HABOU HAFIDA,04/12/2013,04/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BOUCHEMAL HABOU HAFIDA,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CABAZ GHADA,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CABAZ GHADA,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,CABAZ GHADA,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CABAZ THOMAS,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,CABAZ THOMAS,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,CABAZ THOMAS,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CABAZ THOMAS,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,CABAZ THOMAS,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,GAUSSERAND KARINE,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GAUSSERAND KARINE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,GAUSSERAND GUILLET KARINE,17/09/2013,17/09/2013 -,Formation,,
