B3TSI,Médecin,TUBIANA PIONETTI MARIE REINE,22/06/2014,22/06/2014 -,autre : enquête téléphonique,,
BOIRON,Pharmacien,ATTOUT RIAD,27/05/2014,27/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,REZZAK VERONIQUE,27/05/2014,27/05/2014 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,BOUCLY CHRISTOPHE,16/01/2013,16/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
DAIICHI SANKYO FRANCE SAS,Médecin,ENRIQUEZ ISABELLE,23/01/2014,23/01/2014 - 23/01/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,PAYEUR FREDERIC,15/01/2013,15/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
LES LABORATOIRES SERVIER,Médecin,HENRY-DELCOURT ELISA,11/10/2013,11/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,HENRY-DELCOURT ELISA,27/11/2013,27/11/2013 -,Autre : Manifestation scientifique,,
Lilly France SAS,Médecin,BONNEL MINEAU SYLVIA,10/09/2013,10/09/2013 - 10/09/2013,INVITATION,,
PASCALEO,Médecin,BOLCATO OLIVIER,10/03/2014,10/03/2014 -,AUTRE,,
PASCALEO,Médecin,BOLCATO OLIVIER,21/10/2013,21/10/2013 -,AUTRE,,
PASCALEO,Médecin,BOLCATO OLIVIER,29/10/2013,29/10/2013 -,AUTRE,,
PIERRE FABRE MEDICAMENT,Pharmacien,GERSTLE MARIE CLAUDE,09/09/2013,09/09/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Pharmacien,GRANDJEAN SAUVAT FRANCOISE,09/09/2013,09/09/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L OLIVIER,11/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU CANDEOU / SELAS,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU CANDEOU / SELAS,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROCHETTE,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROCHETTE,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROCHETTE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
