BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FIGUERA DELPHINE,15/11/2013,15/11/2013 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUVOCHEL LOUIS,12/09/2013,12/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LEO Pharma,Médecin,DUVOCHEL LOUIS,15/02/2013,15/02/2013 - 31/08/2014,Recherche,,
LES LABORATOIRES SERVIER,Médecin,DUVOCHEL LOUIS,18/11/2013,18/11/2013 -,Recherche,,
MSD France,Médecin,ALLIES PAUL,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,ALLIES PAUL,04/05/2012,04/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BENMANSOUR FARIDA ADELE,11/04/2014,11/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BENMANSOUR MALEK,11/04/2014,11/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DALICHOUX ROBERT,04/05/2012,04/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DALICHOUX ROBERT,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUVOCHEL LOUIS,27/11/2012,27/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DUVOCHEL LOUIS,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUVOCHEL LOUIS,07/02/2012,07/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DUVOCHEL LOUIS,04/05/2012,04/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DUVOCHEL LOUIS,24/10/2012,24/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MARTINEZ ANGEL,07/02/2012,07/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MARTINEZ ANGEL,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MARTINEZ ANGEL,03/04/2012,03/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MARTINEZ ANGEL,24/09/2013,24/09/2013 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,DUVOCHEL Louis,20/06/2013,20/06/2013 -,CONVENTION CONSEIL,,
