3M France,Chirurgien-dentiste,PLENIER JEROME,17/10/2013,17/10/2013 -,FORMATION,,
A+A,Médecin,HORNAC JEAN MICHEL,03/12/2013,02/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MARTRES JACQUES,03/09/2012,31/08/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MARTRES JACQUES,04/02/2013,01/02/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MARTRES JACQUES,25/01/2013,24/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MEGE MICHEL,19/07/2013,18/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MEGE MICHEL,22/10/2012,19/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MEGE MICHEL,10/10/2013,10/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MEGE MICHEL,23/07/2013,19/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MEGE MICHEL,19/07/2013,18/07/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SALAMON JEAN LOUIS,07/09/2012,06/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,SALAMON JEAN LOUIS,01/06/2012,31/05/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,SALAMON JEAN LOUIS,27/04/2012,26/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,SALAMON JEAN LOUIS,18/12/2013,17/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SALAMON JEAN LOUIS,04/12/2013,04/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SALAMON JEAN LOUIS,20/05/2013,17/05/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SALAMON JEAN LOUIS,26/03/2013,25/03/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SALAMON JEAN LOUIS,11/10/2013,09/10/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,MEGE MICHEL,08/10/2013,08/10/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ALK-Abelló,Médecin,LUIGI POSTIGO MARIE AMELIE,24/12/2012,24/12/2012 -,RECHERCHE,,
