3M France,Chirurgien-dentiste,CARRION VIRGINIE,07/10/2013,07/10/2013 -,FORMATION,,
A+A,Médecin,GAGNAT JEAN PIERRE,16/07/2013,16/07/2013 -,ETUDE DE MARCHE,,
A+A,Pharmacien,LABARTHE MARIE NOELLE,06/02/2013,06/02/2013 -,ETUDE DE MARCHE,,
ABBOTT PRODUCTS SAS,Autres types de personne morale,APOLES SANTE SARL,10/09/2013,23/11/2013 -,PRESTATIONS DE SERVICES,,
ALLERGAN FRANCE,Médecin,SABO SYLVIE,09/05/2014,03/06/2014 - 03/06/2014,FORMATION,,
ASPIDE MEDICAL,Infirmier,CRANCE MURIELLE,27/09/2013,20/11/2013 - 23/11/2013,CONGRES/SYMPOSIUM,,
ASTELLAS PHARMA,Fondation,APOLES SANTE,07/03/2014,07/03/2014 -,MARKETING,,
ASTRAZENECA,Médecin,DRUOT JEAN MARC,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DRUOT JEAN MARC,12/06/2014,12/06/2014 -,Formation,,
ASTRAZENECA,Médecin,DRUOT JEAN MARC,24/06/2014,24/06/2014 -,Formation,,
ASTRAZENECA,Médecin,DRUOT JEAN MARC,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,DRUOT JEAN MARC,11/02/2014,11/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DRUOT JEAN MARC,29/04/2014,29/04/2014 -,Formation,,
ASTRAZENECA,Médecin,DUPERRON PATRICK,18/12/2013,18/12/2013 -,Formation,,
ASTRAZENECA,Médecin,JULLIEN ERIC,24/04/2014,24/04/2014 -,Formation,,
ASTRAZENECA,Pharmacien,BONNEAU MARIE CHRISTINE,03/04/2014,03/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,JULLIEN ERIC,10/04/2014,10/04/2014 - 10/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,RICHARD PARRIAUD MARIE CLAUDE,27/03/2014,27/03/2014 - 27/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,RICHARD PARRIAUD MARIE CLAUDE,26/03/2014,26/03/2014 - 26/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BIOGEN IDEC FRANCE,Médecin,DULEU BURRE FRANCOISE,21/03/2014,21/03/2014 - 22/03/2014,CONVENTION D HOSPITALITE,,
