A+A,Médecin,MOSSER FRANCOIS,22/11/2013,21/11/2013 -,ETUDE DE MARCHE,,
ARROW GENERIQUES SAS,Pharmacien,JOULIE ISABELLE,03/03/2014,24/04/2014 -,FORMATION,,
Bayer HealthCare SAS,Médecin,LEMOUZY JEAN CLAUDE,21/11/2013,21/11/2013 - 21/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TRANCHARD FREDERIC,25/03/2014,25/03/2014 - 25/03/2014,Autre : [Convention d'Hospitalité],,
MSD France,Médecin,CASTANIER DENIS,05/01/2012,05/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,EL AHDAB FRANCK,27/11/2012,27/11/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,EL AHDAB FRANCK,21/06/2012,21/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,EL AHDAB FRANCK,30/08/2012,30/08/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,EL AHDAB FRANCK,14/05/2012,14/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,EL AHDAB FRANCK,03/07/2012,03/07/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,EL AHDAB FRANCK,29/03/2012,29/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,EL AHDAB FRANCK,08/10/2012,08/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LEMOUZY JEAN CLAUDE,29/03/2012,29/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LEMOUZY JEAN CLAUDE,25/03/2014,25/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LEMOUZY JEAN CLAUDE,08/10/2012,08/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LEMOUZY JEAN CLAUDE,14/05/2012,14/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LEMOUZY JEAN CLAUDE,05/01/2012,05/01/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,BOUDOU MARIE LOUISE,08/10/2012,08/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Pharmacien,JOULIE GALZIN ISABELLE,05/06/2014,05/06/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,CASTANIER DENIS,24/06/2014,24/06/2014 - 24/06/2014,Autre : [Réunion],,
