A+A,Médecin,FILLONNEAU FRANCIS,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BEAUBEAU KARINE,11/03/2014,11/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BEAUBEAU KARINE,02/07/2013,02/07/2013 -,Formation,,
ASTRAZENECA,Médecin,BEAUBEAU KARINE,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BEAUBEAU KARINE,05/11/2013,05/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BEAUBEAU KARINE,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,COUTURIER FRANCOISE,07/11/2013,07/11/2013 -,Formation,,
CHIESI SA,Médecin,BEAUBEAU KARINE,16/10/2012,16/10/2012 - 16/10/2012,Autre : HOSPITALITE RP,,
NOVARTIS PHARMA SAS,Médecin,MAZOYER ALEXIS,07/10/2013,07/10/2013 - 10/10/2013,Autre : [Hospitalité],,
SANOFI AVENTIS FRANCE,Infirmier,BETIN THIERRY,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE BOISARD,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
