A+A,Médecin,AYANOU DANIEL KOVI,06/04/2012,06/04/2012 -,ETUDE DE MARCHE,,
AbbVie,Médecin,LEGRAND CHRISTOPHE,29/04/2014,29/04/2014 -,RECHERCHE,,
ASTRAZENECA,Médecin,AYANOU DANIEL KOVI,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DEPLANQUE HUBERT,27/11/2013,27/11/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGRAND CHRISTOPHE,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LEGRAND RANA,21/11/2013,21/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,DEPLANQUE HUBERT,18/02/2014,25/02/2014 - 25/02/2015,AUTRE : Recherche épidémiologique,,
LABORATOIRES CONVATEC,Infirmier,BOULANGER JULIETTE,22/05/2014,22/05/2014 - 22/05/2014,AUTRE,,
LABORATOIRES CONVATEC,Infirmier,MARECHAL LAURIANNE,22/05/2014,22/05/2014 - 22/05/2014,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,BRAY THIERRY,23/05/2014,23/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,BRAY THIERRY,24/01/2014,24/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,LEGRAND CHRISTOPHE,06/02/2014,06/02/2014 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,LEGRAND CHRISTOPHE,22/05/2014,22/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,LEGRAND RANA,22/05/2014,22/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,LEGRAND RANA,25/06/2014,25/06/2014 -,Recherche,,
WorldOne Group B.V.,Médecin,AYANOU DANIEL KOVI,23/10/2013,23/10/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,AYANOU DANIEL KOVI,22/04/2014,22/04/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,AYANOU DANIEL KOVI,30/10/2013,30/10/2013 -,AUTRE: [ETUDE DE MARCHE],,
