3M France,Chirurgien-dentiste,MARION PHILIPPE,07/11/2013,07/11/2013 -,FORMATION,,
A+A,Médecin,CAPGRAS THIERRY,06/04/2012,05/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,CAPGRAS THIERRY,01/06/2012,31/05/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,CAPGRAS THIERRY,21/03/2012,20/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,HENNER ANDRE,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,HENNER ANDRE,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,HENNER ANDRE,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HENNER ANDRE,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,HENNER ANDRE,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HENNER ANDRE,04/06/2014,04/06/2014 -,Formation,,
ASTRAZENECA,Médecin,HENNER ANDRE,06/05/2014,06/05/2014 -,Formation,,
ASTRAZENECA,Médecin,HENNER ANDRE,14/11/2013,14/11/2013 -,Formation,,
Axess Research,Médecin,CAPGRAS THIERRY,26/03/2014,26/03/2014 - 26/03/2014,Autre : ETUDE DE MARCHE,,
AXONAL,Chirurgien-dentiste,LE DANTEC Philippe,23/01/2014,23/01/2014 -,CONVENTION RECHERCHE,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOISSON LAETITIA,04/04/2014,04/04/2014 -,[FORMATION],,
CHIESI SA,Médecin,HENNER ANDRE,08/10/2013,08/10/2013 - 08/10/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,HENNER ANDRE,10/10/2013,10/10/2013 - 10/10/2013,Autre : [ hospitalité ],,
EFFIK,Médecin,CAPGRAS THIERRY,05/02/2014,05/02/2014 - 05/02/2014,HOSPITALITE,,
EFFIK,Médecin,EGLES SOPHIE,05/02/2014,05/02/2014 - 05/02/2014,HOSPITALITE,,
EFFIK,Médecin,EGLES SOPHIE,26/09/2013,26/09/2013 -,HOSPITALITE,,
