A+A,Médecin,MOUTAPAM NGAMBY DIEUDONNE,06/01/2014,27/12/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MOUTAPAM DIEUDONNE,18/03/2014,18/03/2014 -,Formation,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE BENABID ,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GURGUI ELENA,14/10/2013,14/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GURGUI ELENA,10/10/2013,10/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GURGUI ELENA,13/05/2014,13/05/2014 - 13/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GURGUI ELENA,23/06/2014,23/06/2014 - 23/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUTAPAM DIEUDONNE,20/02/2014,20/02/2014 - 20/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUTAPAM DIEUDONNE,14/10/2013,14/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MOUTAPAM DIEUDONNE,23/06/2014,23/06/2014 - 23/06/2014,Autre : [Convention d'Hospitalité],,
LASER,Médecin,MOUTAPAM DIEUDONNE,20/01/2012,20/01/2012 - 30/04/2014,RECHERCHE,,
MSD France,Médecin,GURGUI ELENA,14/03/2013,14/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,MOUTAPAM DIEUDONNE,19/03/2013,19/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Pharmacien,BENABID AHMED,25/02/2014,25/02/2014 -,RECHERCHE BIOMÉDICALE,,
RESAL,Médecin,MOUTAPAM DIEUDONNE,20/01/2012,20/01/2012 - 30/04/2014,RECHERCHE,,
SANOFI AVENTIS FRANCE,Pharmacien,MASSE JULIE,03/04/2014,03/04/2014 - 03/04/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE BENABID,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BENABID,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
