3M France,Chirurgien-dentiste,RIFFLART GILLES,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
A+A,Médecin,FRANC GUY ANDRE,01/08/2012,01/08/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,FRANC GUY ANDRE,15/05/2013,14/05/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,FRANC GUY ANDRE,10/04/2012,10/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,FRANC GUY ANDRE,14/06/2012,14/06/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,LAUNAY JEAN,23/04/2012,19/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,ORSAT VINCENT,19/07/2013,18/07/2013 -,ETUDE DE MARCHE,,
All Global,Médecin,Franc Guy-andré,08/10/2013,08/10/2013 -,[Marketing],,
ASTRAZENECA,Médecin,CARETTE DENIS,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,DOUVIER PIERRE YVES,01/07/2013,01/07/2013 -,Formation,,
ASTRAZENECA,Médecin,LANDRIVON ADRIENNE,28/11/2013,28/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LANDRIVON ADRIENNE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LANDRIVON ADRIENNE,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LAUNAY JEAN,01/07/2013,01/07/2013 -,Formation,,
ASTRAZENECA,Médecin,SMET LAETITIA,02/10/2013,02/10/2013 -,Formation,,
ASTRAZENECA,Médecin,VESSIGAUD JEAN PHILIPPE,01/07/2013,01/07/2013 -,Formation,,
ASTRAZENECA,Médecin,VESSIGAUD JEAN PHILIPPE,08/10/2013,08/10/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,BENIERE PATRICIA,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,BUISSON SOPHIE,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,CARETTE DENIS,12/12/2013,12/12/2013 - 12/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
