AbbVie,Pharmacien,BRANDSMA CHRISTOPHE,15/05/2014,15/05/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,BLANQUE ANDRE,05/07/2013,05/07/2013 -,Formation,,
ASTRAZENECA,Médecin,BLANQUE ANDRE,29/10/2013,29/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BLANQUE ANDRE,21/01/2014,21/01/2014 -,Formation,,
ASTRAZENECA,Médecin,BLANQUE ANDRE,09/04/2014,09/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BLANQUE ANDRE,03/12/2013,03/12/2013 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,BLANQUE ANDRE,02/10/2013,02/10/2013 - 02/10/2013,Autre : [ hospitalité ],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE COUDOUX PHIE COUDOUX,01/08/2013,05/09/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANQUE ANDRE,20/12/2013,20/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,BLANQUE ANDRE,28/02/2014,28/02/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,HENNEBELLE JEAN LUC,10/10/2013,10/10/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,BLANQUE ANDRE,20/03/2014,20/03/2014 - 20/03/2014,Autre : Réunion scientifique,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE COUDOUX / SNC,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE COUDOUX / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE COUDOUX / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Médecin,USSEGLIO FABRICE,03/02/2014,03/02/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,USSEGLIO FABRICE,26/11/2013,26/11/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,USSEGLIO FABRICE,11/10/2013,11/10/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,USSEGLIO FABRICE,11/11/2013,11/11/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,USSEGLIO FABRICE,20/11/2013,20/11/2013 -,AUTRE: [ETUDE DE MARCHE],,
