A+A,Pharmacien,PINCEMIN ELISABETH,16/04/2014,15/04/2014 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BRUNEL KATIA,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BRUNEL KATIA,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BRUNEL KATIA,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PRUNARETTY ANDRE,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,PRUNARETTY ANDRE,30/01/2014,30/01/2014 -,Formation,,
BOIRON,Pharmacien,PINCEMIN ELISABETH,27/05/2014,27/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FERDINAND NC,27/05/2014,27/05/2014 -,[FORMATION],,
LASER,Médecin,PRUNARETTY ANDRE,15/01/2012,15/01/2012 - 31/12/2013,RECHERCHE,,
MSD France,Etablissement de santé,PHARMACIE PINCEMIN,24/06/2013,24/06/2013 -,EXPERT,,
MSD France,Médecin,BRUNEL KATIA,24/04/2014,24/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BRUNEL KATIA,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,BRUNEL KATIA,26/06/2014,26/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PRUNARETTY ANDRE,20/05/2014,20/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,PRUNARETTY ANDRE,24/04/2014,24/04/2014 -,CONVENTION D’HOSPITALITÉ,,
RESAL,Médecin,PRUNARETTY ANDRE,15/01/2012,15/01/2012 - 31/12/2013,RECHERCHE,,
TEVA SANTE SAS,Médecin,BRUNEL KATIA,03/12/2013,03/12/2013 - 03/12/2013,AUTRE : HOSPITALITE - MANIFESTATION SCIENTIFIQUE/PROFESSIONNELLE,,
