ALK-Abelló,Médecin,MIGUET ANDRE,08/10/2013,08/10/2013 - 08/10/2013,AUTRE : [REUNION SCIENTIFIQUE],,
ASTRAZENECA,Médecin,HAY BRUNO,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,09/01/2014,09/01/2014 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HAY BRUNO,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,MIGUET ANDRE,19/09/2013,19/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MIGUET ANDRE,03/06/2014,03/06/2014 -,Formation,,
ASTRAZENECA,Médecin,MIGUET ANDRE,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,MIGUET ANDRE,07/01/2014,07/01/2014 -,Formation,,
ASTRAZENECA,Médecin,WALLART GILLES,19/09/2013,19/09/2013 -,Formation,,
CHIESI SA,Médecin,HAY BRUNO,21/11/2013,21/11/2013 - 21/11/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,HAY BRUNO,05/09/2013,05/09/2013 - 05/09/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,HAY BRUNO,05/10/2013,05/10/2013 - 06/10/2013,Autre : [ hospitalité ],,
