A+A,Médecin,MERIGEAUD SONIA,30/10/2013,30/10/2013 -,ETUDE DE MARCHE,,
ASTELLAS PHARMA,Médecin,PAGEAUX GEORGES PHILIPPE,11/05/2013,11/05/2013 -,CONGRES/SYMPOSIUM,,
ASTRAZENECA,Médecin,IDOUX ALAIN,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,JOUANDON CANDICE,16/04/2014,16/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LE MERRE SOPHIE,16/04/2014,16/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LE MERRE SOPHIE,18/12/2013,18/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LE MERRE SOPHIE,19/02/2014,19/02/2014 -,Formation,,
ASTRAZENECA,Médecin,MERIGEAUD QUEMENT SONIA,16/04/2014,16/04/2014 -,Formation,,
ASTRAZENECA,Médecin,ROBIN ANNE SOPHIE,16/04/2014,16/04/2014 -,Formation,,
Axess Research,Médecin,LE MERRE SOPHIE,26/03/2014,26/03/2014 - 26/03/2014,Autre : ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,LE MERRE SOPHIE,20/05/2014,20/05/2014 - 20/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Médecin,BILLES MORA MARIE CLAUDE,28/11/2013,28/11/2013 -,[FORMATION],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RICHARD CATHERINE,29/08/2013,29/08/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,LE MERRE SOPHIE,15/04/2014,15/04/2014 -,REUNION SCIENTIFIQUE,,
LABORATOIRES URGO,Infirmier,CAUMES AMELIE,05/12/2013,05/12/2013 -,HOSPITALITE,,
LABORATOIRES URGO,Infirmier,ENGEL CATHY,05/12/2013,05/12/2013 -,HOSPITALITE,,
LABORATOIRES URGO,Infirmier,FOULQUIER MAGALY,05/12/2013,05/12/2013 -,HOSPITALITE,,
LABORATOIRES URGO,Infirmier,KONOPNICKI ISABELLE,05/12/2013,05/12/2013 -,HOSPITALITE,,
LABORATOIRES URGO,Infirmier,RIOU ANNIK,05/12/2013,05/12/2013 -,HOSPITALITE,,
LASER,Médecin,LE MERRE SOPHIE,15/03/2012,15/03/2012 - 30/04/2014,RECHERCHE,,
