A+A,Médecin,BLANCO JEREMY,09/04/2013,08/04/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,BLANCO JEREMY,27/03/2014,27/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Médecin,COSTA SOPHIE,27/03/2014,27/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTELLAS PHARMA,Fondation,CHRISTOPHE DUREAU,06/02/2014,06/02/2014 -,MARKETING,,
ASTELLAS PHARMA,Fondation,CHRISTOPHE DUREAU,16/04/2014,16/04/2014 -,MARKETING,,
ASTELLAS PHARMA,Fondation,CHRISTOPHE DUREAU,06/02/2014,06/02/2014 -,MARKETING,,
ASTRAZENECA,Médecin,BLANCO JEREMY,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BOUCHEDE JEAN PATRICK,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BOUCHEDE JEAN PATRICK,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,COSTA SOPHIE,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,GAUTHIER LOUIS CHARLES,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GAUTHIER LOUIS CHARLES,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,HARDY HELENE,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,HARDY HELENE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,HARDY HELENE,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,HARDY HELENE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LEGRAND CHARLES,10/04/2014,10/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LEGRAND CHARLES,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LEGRAND CHARLES,03/10/2013,03/10/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,ARBERET ROMUALE MURIEL,20/03/2014,20/03/2014 - 21/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
