A+A,Médecin,CASTELLANI CATHERINE,16/07/2012,16/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,FAYNOT RENE,26/02/2014,26/02/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,CASTELLANI CATHERINE,15/04/2014,15/04/2014 - 15/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,GRANDON PHILIPPE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAVIGNON LUCIE,20/05/2014,20/05/2014 -,[FORMATION],,
BOIRON,Sage-femme,BOUGO EDITH,17/06/2014,17/06/2014 -,[FORMATION],,
BOIRON,Sage-femme,BOUGO EDITH,18/03/2014,18/03/2014 -,[FORMATION],,
BOIRON,Sage-femme,BOUGO EDITH,03/12/2013,03/12/2013 -,[FORMATION],,
CHIESI SA,Médecin,CASTELLANI CATHERINE,19/11/2013,19/11/2013 - 19/11/2013,Autre : HOSPITALITE RP,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CASTELLANI CATHERINE,28/11/2013,28/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Lilly France SAS,Médecin,GRIMOIN MICHEL,03/10/2013,03/10/2013 - 03/10/2013,INVITATION,,
Lilly France SAS,Médecin,NOLY GRIMOIN FLORENCE,03/10/2013,03/10/2013 - 03/10/2013,INVITATION,,
LOL PHARMA,Pharmacien,GRANDON ET PAULO GRANDON ET PAULO,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,GRANDON ET PAULO GRANDON ET PAULO,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,GRANDON ET PAULO GRANDON ET PAULO,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,GRANDON ET PAULO GRANDON ET PAULO,17/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
MENARINI FRANCE,Médecin,CASTELLANI CATHERINE,20/02/2014,20/02/2014 - 20/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,CASTELLANI CATHERINE,30/01/2014,30/01/2014 - 30/01/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,KALLAH JEAN MICHEL,20/02/2014,20/02/2014 - 20/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,NURIT LAURENT,20/02/2014,20/02/2014 - 20/02/2014,Autre : Réunion scientifique,,
