3M France,Chirurgien-dentiste,DUBOS NATHALIE,10/04/2014,10/04/2014 - 10/04/2014,FORMATION,,
A+A,Médecin,CARBONNEL ELISABETH,19/03/2012,19/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,CARBONNEL ELISABETH,16/02/2012,16/02/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,CARBONNEL DELALANDE ELISABETH,09/12/2013,06/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,CARBONNEL DELALANDE ELISABETH,10/10/2013,10/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DELECROIX ELISABETH,18/12/2013,18/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DUCHAMP VINCENT,18/12/2013,18/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,HOLZAPFEL NICOLAS,18/01/2013,18/01/2013 -,ETUDE DE MARCHE,,
AbbVie,Pharmacien,BARDONNET ARNAUD,27/03/2014,27/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Pharmacien,DELAYE VERONIQUE,27/03/2014,27/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Pharmacien,JAMBON AURELIE,27/03/2014,27/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CALLOT EVELYNE,27/03/2014,27/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GOURMAND CYNTHIA,27/03/2014,27/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUIGON LAURA,27/03/2014,27/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PARIS NADINE,27/03/2014,27/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ALK-Abelló,Médecin,LAGRANGE CELINE,10/10/2013,10/10/2013 - 11/10/2013,CONGRES / SYMPOSIUM,,
ASTRAZENECA,Médecin,BRUNEL LAURENT,20/09/2013,20/09/2013 -,Formation,,
ASTRAZENECA,Médecin,BRUNEL SEGOND BENEDICTE,20/09/2013,20/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GUERIN EMILIE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MAGNIEN GUILLAUME,20/09/2013,20/09/2013 -,Formation,,
