3M France,Chirurgien-dentiste,COHEN-SCALI SABINE,07/12/2013,07/12/2013 -,CONGRES / SYMPOSIUM,,
A+A,Médecin,BERTRAND CATHERINE,27/12/2013,23/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BORGET CECILE,25/10/2013,24/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BORGET CECILE,17/12/2013,16/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,BORGET CECILE,15/10/2013,15/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,CAROLI JEAN,27/12/2013,23/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,CLOUP LEFEUVRE ANNE MARIE,27/12/2013,26/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DANA ANDRE,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,D HONDT CAROLE,11/07/2012,10/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,D HONDT CAROLE,04/11/2013,04/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,D HONDT CAROLE,25/06/2013,21/06/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,FLABEAU TUGAYE CHRISTINE,22/11/2013,22/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,FLABEAU TUGAYE CHRISTINE,01/08/2012,01/08/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,HURSON FREDERIC,01/02/2012,31/01/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,HURSON FREDERIC,18/09/2012,18/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,LANDAU ALAIN,10/04/2012,10/04/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,LANDAU ALAIN,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,LESSARD IGOR,27/12/2013,23/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,MANGIAPAN GILLES,15/10/2012,12/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,MARDINE MARTINE,25/10/2013,24/10/2013 -,ETUDE DE MARCHE,,
