A+A,Médecin,MOLDOVEANU RUXANDRA,27/11/2012,27/11/2012 -,ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,JEANNIN PIERRE,13/03/2014,13/03/2014 - 13/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,JEANNIN PIERRE,18/12/2013,18/12/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
JANSSEN-CILAG,Médecin,JEANNIN PIERRE,03/04/2013,03/04/2013 - 03/04/2013,CONGRES / SYMPOSIUM,,
Laboratoires Expanscience,Médecin,JEANNIN PIERRE,05/12/2013,05/12/2013 - 05/12/2013,Formation,,
LABORATOIRES MAYOLY SPINDLER,Médecin,JEANIN PIERRE,07/11/2013,07/11/2013 -,AUTRE : [RP TFI],,
LABORATOIRES MAYOLY SPINDLER,Médecin,JEANNIN Pierre,27/02/2014,27/02/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,JEANNIN PIERRE,21/11/2013,21/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,JEANNIN PIERRE,03/04/2014,03/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
Lilly France SAS,Médecin,JEANNIN PIERRE,28/01/2014,28/01/2014 - 28/01/2014,INVITATION,,
Lilly France SAS,Médecin,JEANNIN PIERRE,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Médecin,JEANNIN PIERRE,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
MSD France,Médecin,JEANNIN PIERRE,04/10/2013,04/10/2013 -,CONVENTION D’HOSPITALITE,,
MSD France,Médecin,JEANNIN PIERRE,21/01/2014,21/01/2014 -,CONVENTION D’HOSPITALITE,,
MSD France,Médecin,JEANNIN PIERRE,06/06/2013,06/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,JEANNIN PIERRE,06/06/2013,06/06/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,VALENTIN JEAN JACQUES,25/10/2012,25/10/2012 -,CONVENTION D HOSPITALITE,,
