A+A,Médecin,LOTTIN ROBERT,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GRADELLE SYLVIE,03/10/2013,03/10/2013 -,Formation,,
ASTRAZENECA,Médecin,HENNEVIN FRANCOIS,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,HENNEVIN FRANCOIS,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LOTTIN ROBERT,12/11/2013,12/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LOTTIN ROBERT,03/12/2013,03/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LOTTIN ROBERT,20/05/2014,20/05/2014 -,Formation,,
ASTRAZENECA,Médecin,LOTTIN ROBERT,10/12/2013,10/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LOTTIN ROBERT,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LOTTIN ROBERT,26/09/2013,26/09/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,LOTTIN ROBERT,19/11/2013,19/11/2013 - 19/11/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LOTTIN ROBERT,24/09/2013,24/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,LOTTIN ROBERT,23/01/2014,23/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,LECOCQ-JOUVENET HELENE,14/10/2013,14/10/2013 -,[FORMATION],,
BOIRON,Pharmacien,MENET WATTELLE AUDREY,18/04/2014,18/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,MENET WATTELLE AUDREY,27/05/2014,27/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,MENET WATTELLE AUDREY,17/12/2013,17/12/2013 -,[FORMATION],,
BOIRON,Pharmacien,MENET-WATTELLE AUDREY,18/04/2014,18/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DA COSTA LAURENT,14/10/2013,14/10/2013 -,[FORMATION],,
Inter-View Partners France,Médecin,LAFOSSE CECILIA,20/12/2013,20/12/2013 -,AUTRE ETUDE DE MARCHE,,
