A+A,Pharmacien,BOUVRESSE VINCENT,16/04/2014,15/04/2014 -,ETUDE DE MARCHE,,
DAIICHI SANKYO FRANCE SAS,Médecin,VANNIERE MIREILLE,05/10/2013,05/10/2013 - 06/10/2013,Autre : [ hospitalité ],,
LES LABORATOIRES SERVIER,Médecin,LACAL ALAIN,24/01/2014,24/01/2014 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,VANNIERE MIREILLE,16/01/2014,16/01/2014 -,Recherche,,
SANOFI AVENTIS FRANCE,Médecin,DEGUISNE FALLIES STEPHANIE,03/06/2014,03/06/2014 - 03/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,NEE MICHEL,03/06/2014,03/06/2014 - 03/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,VANNIERE MIREILLE,03/06/2014,03/06/2014 - 03/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE BOUVRESSE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BOUVRESSE,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE BOUVRESSE,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROSSIGNOL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROSSIGNOL,04/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ROSSIGNOL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
