3M France,Association professionnel de santé,ADFOC 21,14/11/2013,14/11/2013 -,AUTRE : [STAND/TABLE],,
A+A,Médecin,DEVEZA PATRICK,20/06/2013,20/06/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DEVEZA PATRICK,20/12/2013,20/12/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DUSSARDIER ANNE MARIE,11/06/2013,10/06/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DUSSARDIER ANNE MARIE,17/01/2013,17/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DUSSARDIER ANNE MARIE,24/09/2013,24/09/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,DUSSARDIER ANNE MARIE,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DUSSARDIER ANNE MARIE,30/07/2012,26/07/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,DUSSARDIER ANNE MARIE,07/09/2012,07/09/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,GAUMONT NATHALIE,22/10/2012,19/10/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,JANDOT PHILIPPE,10/05/2012,10/05/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,JANDOT PHILIPPE,26/03/2012,26/03/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,JANDOT PHILIPPE,18/01/2013,18/01/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,PELLEGRIN JEAN MARIE,03/12/2012,29/11/2012 -,ETUDE DE MARCHE,,
A+A,Médecin,RAHMANE EL IDRISSI FATIMA,11/10/2013,09/10/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SAMRETH GRADEL DAVY,12/11/2013,12/11/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SFEIR IMAD,26/09/2013,30/09/2013 -,ETUDE DE MARCHE,,
A+A,Médecin,SFEIR IMAD,26/03/2012,27/03/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,DUREUX HELENE,17/01/2012,16/01/2012 -,ETUDE DE MARCHE,,
A+A,Pharmacien,JANDEAU GAELLE,28/11/2013,28/11/2013 -,ETUDE DE MARCHE,,
