ASTRAZENECA,Médecin,DENARIE BRUNO,03/12/2013,03/12/2013 -,Formation,,
CHIESI SA,Médecin,DENARIE BRUNO,30/01/2014,30/01/2014 - 30/01/2014,Autre : HOSPITALITE RP,,
IMS Medical Radar,Médecin,MAROIS FRANCIS,13/01/2014,13/01/2014 - 13/01/2014,autre: ETUDE,,
IMS Medical Radar,Médecin,MAROIS Francis,22/11/2013,22/11/2013 - 22/11/2013,autre: ETUDE,,
IMS Medical Radar,Médecin,MAROIS Francis,07/11/2013,07/11/2013 - 07/11/2013,autre: ETUDE,,
IMS Medical Radar,Médecin,MAROIS Francis,15/10/2013,15/10/2013 - 15/10/2013,autre: ETUDE,,
IMS Medical Radar,Médecin,MAROIS Francis,03/10/2013,03/10/2013 - 03/10/2013,autre: ETUDE,,
IMS Medical Radar,Médecin,MAROIS Francis,08/11/2013,08/11/2013 - 08/11/2013,autre: ETUDE,,
IMS Medical Radar,Médecin,MAROIS FRANCIS,31/01/2014,31/01/2014 - 31/01/2014,autre: ETUDE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DENARIE BRUNO,27/02/2014,27/02/2014 - 27/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES MAYOLY SPINDLER,Médecin,Marois Francis,21/06/2014,21/06/2014 -,CONSEIL MANIFESTATION A CARACTERE PROFESSIONNEL ET SCIENTIFIQUE,,
LABORATOIRES MAYOLY SPINDLER,Médecin,Marois Francis,21/06/2014,21/06/2014 -,CONSEIL MANIFESTATION A CARACTERE PROFESSIONNEL ET SCIENTIFIQUE,,
LABORATOIRES MAYOLY SPINDLER,Médecin,Marois Francis,21/06/2014,21/06/2014 -,CONSEIL MANIFESTATION A CARACTERE PROFESSIONNEL ET SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,DENARIE ANNIE,09/01/2014,09/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DENARIE ANNIE,05/06/2014,05/06/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DENARIE BRUNO,09/01/2014,09/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DENARIE BRUNO,05/06/2014,05/06/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
Lilly France SAS,Médecin,DENARIE BRUNO,04/07/2013,04/07/2013 - 04/07/2013,INVITATION,,
Lilly France SAS,Médecin,DENARIE PASQUET ANNIE,04/07/2013,04/07/2013 - 04/07/2013,INVITATION,,
M3 Global Research Ltd,Médecin,Francis Marois,25/04/2014,25/04/2014 -,Marketing,,
