IMS HEALTH SAS,Médecin,MUREAU PHILIPPE,01/10/2013,01/10/2013 -,autre : Etude observationnelle,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MUREAU PHILIPPE,06/12/2013,06/12/2013 - 06/12/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LEO Pharma,Médecin,MUREAU PHILIPPE,15/02/2013,15/02/2013 - 31/08/2014,Recherche,,
LES LABORATOIRES SERVIER,Médecin,MUREAU PHILIPPE,23/04/2014,23/04/2014 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,MUREAU PHILIPPE,12/09/2013,12/09/2013 -,Recherche,,
MSD France,Médecin,MUREAU PHILIPPE,01/10/2013,01/10/2013 -,RECHERCHE BIOMÉDICALE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LAROCHE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LAROCHE,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LAROCHE,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LAROCHE,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SEILLER / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SEILLER / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SEILLER / SARL,12/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
