A+A,Pharmacien,GILLES FRANCOISE,03/05/2013,30/04/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,COILLOT GERARD,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,HAMMADI Amine,29/11/2013,29/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,KEUK ANNE MARIE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LAFARGUE CATHERINE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LAFARGUE CATHERINE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MONTIER JEAN MARIE,12/09/2013,12/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MONTIER JEAN MARIE,12/12/2013,12/12/2013 -,Formation,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ROSSIN VALERIE,05/11/2013,05/11/2013 -,[FORMATION],,
ETHICON,Médecin,ROUXEL ERIC,20/09/2013,20/09/2013 - 22/09/2013,CONGRES / SYMPOSIUM,,
ETHICON,Médecin,ROUXEL ERIC,05/09/2013,05/09/2013 - 05/09/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COILLOT GERARD,11/03/2014,11/03/2014 - 11/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EUGENE MICHEL,24/06/2014,24/06/2014 - 24/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LAFARGUE CATHERINE,24/06/2014,24/06/2014 - 24/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONTIER JEAN MARIE,11/03/2014,11/03/2014 - 11/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,ARTIGES ALICE,30/11/2012,30/11/2012 -,Autre : [Convention d hospitalite],,
LASER,Médecin,MONTIER JEAN MARIE,03/01/2012,03/01/2012 - 31/12/2013,RECHERCHE,,
LASER,Médecin,PILET JEROME,15/01/2012,15/01/2012 - 31/12/2013,RECHERCHE,,
M3 Global Research Ltd,Préparateur en pharmacie et préparateur en pharmacie hospitalière,Antoine DUBOIS,06/06/2014,06/06/2014 -,Marketing,,
MENICON SAS,Médecin,ROUXEL ERIC,26/03/2013,05/10/2013 -,SYMPOSIUM,,
