A+A,Pharmacien,LENOIR ARNAUD,09/02/2012,08/02/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BLEY YANNICK,19/02/2014,19/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BLEY YANNICK,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CHERKAOUI ABDALLAH,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CHERKAOUI ABDALLAH,19/02/2014,19/02/2014 -,Formation,,
ASTRAZENECA,Médecin,FORNAS OLIVIER,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,FORNAS OLIVIER,19/02/2014,19/02/2014 -,Formation,,
ASTRAZENECA,Médecin,TAUPENOT DAVID,12/12/2013,12/12/2013 -,Formation,,
ASTRAZENECA,Médecin,TAUPENOT DAVID,19/02/2014,19/02/2014 -,Formation,,
LABORATOIRES COLOPLAST,Infirmier,BLANCHARD CHRISTINE,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,CIUDAD SEBASTIEN,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,DEJUCQ VERONIQUE,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,JAILLARD CATHERINE,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,MOUSSOT GISELE,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Médecin,BLEY YANNICK,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Médecin,FORNAS OLIVIER,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Pharmacien,ROUGEAUX MARION,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Pharmacien,SABINEU GUY,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Pharmacien,SOUVANT PATRICK,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MITIC NATACHA,27/03/2014,27/03/2014 -,Autre : convention d'hospitalité,,
