A+A,Médecin,BOULANGER AZAM VALERIE,31/07/2013,30/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BOULANGER AZAM VALERIE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,BOULANGER AZAM VALERIE,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BOULANGER AZAM VALERIE,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,DARY PATRICE,20/03/2014,20/03/2014 -,Formation,,
BOIRON,Pharmacien,PINCEPOCHE AGNES,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUVAL MARIE FRANCE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DUVAL MARIE FRANCE,17/04/2014,17/04/2014 -,[FORMATION],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE DES BAINS PHIE DES BAINS,13/06/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOULANGER AZAM VALERIE,12/06/2014,12/06/2014 - 12/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOULANGER AZAM VALERIE,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,ALIAMUS ANNE,12/06/2014,12/06/2014 - 12/06/2014,Autre : [Convention d'Hospitalité],,
LES LABORATOIRES SERVIER,Médecin,BOULANGER AZAM VALERIE,17/10/2013,17/10/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,AGNES PINCEPOCHE AGNES PINCEPOCHE,04/06/2013,05/07/2013 -,CONTRAT DE PRESTATION DE SERVICE,,
MSD France,Médecin,DARY PATRICE,05/06/2014,05/06/2014 -,CONVENTION D’HOSPITALITÉ,,
SANOFI AVENTIS FRANCE,Médecin,BERTRAND MARINE,04/07/2013,04/07/2013 - 04/07/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,DUVAL AUBER MARIE FRANCE,04/07/2013,04/07/2013 - 04/07/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,HALLOUIN NICOLAS,04/07/2013,04/07/2013 - 04/07/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Pharmacien,SAMBUCHI MARGAUX,04/07/2013,04/07/2013 - 04/07/2013,Convention d'Hospitalité,,
SANOFI PASTEUR MSD SNC,Médecin,BOULANGER AZAM VALERIE,19/09/2013,19/09/2013 -,Autre : [RP],,
