All Global,Médecin,Ihli Didier,03/10/2013,03/10/2013 -,[Marketing],,
ASTRAZENECA,Médecin,IHLI DIDIER,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,PIERRISNARD ARTHUR,19/12/2013,19/12/2013 -,Formation,,
ASTRAZENECA,Médecin,PIERRISNARD ARTHUR,11/03/2014,11/03/2014 -,Formation,,
ASTRAZENECA,Médecin,PIERRISNARD ARTHUR,03/09/2013,03/09/2013 -,Formation,,
ASTRAZENECA,Médecin,REBMANN SERGE,19/12/2013,19/12/2013 -,Formation,,
LES LABORATOIRES SERVIER,Médecin,IHLI DIDIER,06/05/2014,06/05/2014 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,IHLI DIDIER,19/09/2013,19/09/2013 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,IHLI DIDIER,14/11/2013,14/11/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,IHLI DIDIER,06/02/2014,06/02/2014 - 06/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,IHLI DIDIER,24/05/2014,24/05/2014 - 25/05/2014,Congrès / Symposium,,
MENARINI FRANCE,Médecin,IHLI DIDIER,12/04/2014,12/04/2014 - 13/04/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,REBMANN SERGE,15/02/2014,15/02/2014 - 16/02/2014,Autre : Réunion scientifique,,
MSD France,Médecin,IHLI DIDIER,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,IHLI DIDIER,05/09/2013,05/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,IHLI DIDIER,21/03/2013,21/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,IHLI DIDIER,27/09/2012,27/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,IHLI DIDIER,08/03/2012,08/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,PIERRISNARD ARTHUR,03/04/2014,03/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,REBMANN SERGE,08/03/2012,08/03/2012 -,CONVENTION D HOSPITALITE,,
