AbbVie,Médecin,JULLIEN PHILIP,13/02/2014,13/02/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
BOEHRINGER INGELHEIM FRANCE,Médecin,MANTE PATRICK,10/09/2013,10/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RIBES PATRICK,10/09/2013,10/09/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
CROMA,Médecin,Jullien Philip,03/03/2014,26/03/2014 - 28/03/2014,Congrès,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CANNARD DOMINIQUE,29/11/2013,29/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CANNARD DOMINIQUE,16/05/2014,16/05/2014 - 16/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CANNARD DOMINIQUE,21/01/2014,21/01/2014 - 21/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FAYAD RAMI,29/11/2013,29/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANTE PATRICK,29/11/2013,29/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANTE PATRICK,21/01/2014,21/01/2014 - 21/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIBES PATRICK,21/01/2014,21/01/2014 - 21/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIBES PATRICK,29/11/2013,29/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIBES PATRICK,16/05/2014,16/05/2014 - 16/05/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RIBES PATRICK,10/12/2013,10/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROSSI OLYMPE,21/01/2014,21/01/2014 - 21/01/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,JULLIEN PHILIP,19/12/2013,19/12/2013 -,AUTRE,,
LES LABORATOIRES SERVIER,Médecin,CANNARD DOMINIQUE,22/05/2014,22/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,CANNARD DOMINIQUE,25/04/2014,25/04/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CANNARD DOMINIQUE,18/10/2013,18/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,MANTE PATRICK,19/11/2013,19/11/2013 -,Autre : Manifestation scientifique,,
