A+A,Médecin,BITARD DOMINIQUE,07/09/2012,06/09/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,RHIAT ABDELGHANI,14/05/2014,14/05/2014 -,Formation,,
MENARINI FRANCE,Médecin,BITARD DOMINIQUE,29/01/2014,29/01/2014 - 29/01/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,BITARD DOMINIQUE,12/02/2014,12/02/2014 - 12/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,MARDARE MONICA,12/02/2014,12/02/2014 - 12/02/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,MARDARE MONICA,29/01/2014,29/01/2014 - 29/01/2014,Autre : Réunion scientifique,,
PIERRE FABRE MEDICAMENT,Médecin,BITARD DOMINIQUE,25/09/2013,25/09/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,MARDARE MONICA,25/09/2013,25/09/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ACKER / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ACKER / SARL,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE ACKER / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
