A+A,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,27/11/2012,27/11/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GOURNAY JEAN PIERRE,03/04/2014,03/04/2014 -,Formation,,
ASTRAZENECA,Médecin,GOURNAY JEAN PIERRE,26/09/2013,26/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GRICOURT PHILIPPE,15/11/2013,15/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GRICOURT PHILIPPE,28/03/2014,28/03/2014 -,Formation,,
ASTRAZENECA,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,26/09/2013,26/09/2013 -,Formation,,
BOIRON,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,20/02/2014,20/02/2014 -,[FORMATION],,
BOIRON,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,10/10/2013,10/10/2013 -,[FORMATION],,
BOIRON,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,17/04/2014,17/04/2014 -,[FORMATION],,
IPSEN PHARMA,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,03/07/2013,03/07/2013 -,CONVENTION HOSPITALITE,,
IPSEN PHARMA,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,05/06/2014,05/06/2014 - 05/06/2014,CONVENTION D'HOSPITALITE,,
LES LABORATOIRES SERVIER,Médecin,GOURNAY JEAN-PIERRE,05/05/2014,05/05/2014 -,Recherche,,
LES LABORATOIRES SERVIER,Médecin,GOURNAY JEAN-PIERRE,05/12/2013,05/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,05/12/2013,05/12/2013 -,Autre : Manifestation scientifique,,
WorldOne Group B.V.,Médecin,ROUGEAUX ANNE SOPHIE,28/03/2014,28/03/2014 -,AUTRE: [ETUDE DE MARCHE],,
Zambon France,Médecin,ROUGEAUX ROSIAUX ANNE SOPHIE,19/12/2013,19/12/2013 -,Autre : [ Hospitalité ],,
