A+A,Médecin,SPITZ JEAN FRANCOIS,09/01/2013,04/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,JARLAUD PATRICK,20/03/2014,20/03/2014 -,Formation,,
ASTRAZENECA,Pharmacien,NAU DENIS,20/03/2014,20/03/2014 -,Formation,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE RACINE PHIE RACINE,03/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE RACINE PHIE RACINE,27/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
Kantar Health,Médecin,JARLAUD Patrick,08/01/2014,01/11/2013 - 10/06/2014,Marketing,,
Kantar Health,Médecin,JARLAUD PATRICK,15/05/2014,15/05/2014 - 15/05/2014,[MARKETING],,
LABORATOIRES MAYOLY SPINDLER,Médecin,JARLAUD PATRICK,06/02/2014,06/02/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,JARLAUD PATRICK,20/02/2014,20/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,JARLAUD PATRICK,19/09/2013,19/09/2013 -,Autre : Manifestation scientifique,,
MAPI SAS,Etablissement de santé,PHARMACIE NAU DENIS,07/05/2013,07/05/2013 -,CONVENTION DE RECHERCHE,,
MAPI SAS,Pharmacien,NAU DENIS,07/05/2013,07/05/2013 -,CONVENTION DE RECHERCHE,,
MENARINI FRANCE,Médecin,JARLAUD PATRICK,22/03/2014,22/03/2014 - 23/03/2014,Autre : Réunion scientifique,,
MSD France,Médecin,JARLAUD PATRICK,24/05/2012,24/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JARLAUD PATRICK,18/02/2014,18/02/2014 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JARLAUD PATRICK,10/04/2014,10/04/2014 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JARLAUD PATRICK,28/03/2013,28/03/2013 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JARLAUD PATRICK,15/02/2012,15/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JARLAUD PATRICK,29/03/2012,29/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,JARLAUD PATRICK,23/05/2013,23/05/2013 -,CONVENTION D HOSPITALITE,,
